time,ir,red,hr,spo2,temp

162621510,8571,3779,null,0,0
162621531,8469,3786,null,0,0
162621551,8500,3753,null,0,0
162621572,8500,3753,null,0,0
162621609,8500,3753,null,0,0
162621631,8536,3880,null,0,0
162621650,8515,3868,null,0,0
162621671,8515,3868,null,0,0
162621711,8515,3868,null,0,0
162621731,8580,3904,null,0,0
162621752,8569,3907,null,0,0
162621771,8569,3907,null,0,0
162621809,8569,3907,null,0,0
162621832,8596,3895,null,0,0
162621850,8581,3879,null,0,0
162621872,1929,500,null,0,0
162621913,8540,3840,null,0,0
162621932,4804,2077,null,0,0
162621953,8542,3791,null,0,0
162621972,8542,3791,null,0,0
162621990,8542,3791,null,0,0
162622028,8547,3862,null,0,0
162622137,8441,3739,null,0,0
162622161,8441,3739,null,0,0
162622186,8441,3739,null,0,0
162622217,8619,3932,null,0,0
162622273,8377,3809,null,0,0
162622297,8377,3809,null,0,0
162622323,8377,3809,null,0,0
162622370,8630,3910,null,0,0
162622395,8458,3912,null,0,0
162622420,8458,3912,null,0,0
162622443,8458,3912,null,0,0
162622485,8598,3866,null,0,0
162622509,8508,3895,null,0,0
162622532,8508,3895,null,0,0
162622557,8508,3895,null,0,0
162622601,8561,3789,null,0,0
162622624,8493,3829,null,0,0
162622645,8493,3829,null,0,0
162622668,8493,3829,null,0,0
162622710,8480,3816,null,0,0
162622731,8410,3735,null,0,0
162622755,8410,3735,null,0,0
162622776,8410,3735,null,0,0
162622819,8583,3913,null,0,0
162622842,8419,3804,null,0,0
162622863,8419,3804,null,0,0
162622887,8419,3804,null,0,0
162622930,8634,3912,null,0,0
162622953,8546,3862,null,0,0
162622974,8546,3862,null,0,0
162622997,8546,3862,null,0,0
162623041,8604,3893,null,0,0
162623062,8554,3817,null,0,0
162623085,8554,3817,null,0,0
162623107,8554,3817,null,0,0
162623150,8565,3847,null,0,0
162623173,8527,3762,null,0,0
162623194,8527,3762,null,0,0
162623218,8527,3762,null,0,0
162623260,8558,3904,null,0,0
162623282,8405,3738,null,0,0
162623305,8405,3738,null,0,0
162623328,8405,3738,null,0,0
162623370,8639,3978,null,0,0
162623391,8384,3784,null,0,0
162623414,8384,3784,null,0,0
162623435,8384,3784,null,0,0
162623478,8686,3965,null,0,0
162623501,8474,3858,null,0,0
162623521,8474,3858,null,0,0
162623544,8474,3858,null,0,0
162623586,8676,3926,null,0,0
162623607,8525,3825,null,0,0
162623630,8525,3825,null,0,0
162623651,8525,3825,null,0,0
162623695,8543,3823,null,0,0
162623716,8452,3756,null,0,0
162623739,8452,3756,null,0,0
162623759,8452,3756,null,0,0
162623801,8514,3833,null,0,0
162623825,8380,3714,null,0,0
162623845,8380,3714,null,0,0
162623868,8380,3714,null,0,0
162623910,8605,3952,null,0,0
162623931,8408,3852,null,0,0
162623954,8408,3852,null,0,0
162623975,8408,3852,null,0,0
162624017,8665,3920,null,0,0
162624039,8495,3926,null,0,0
162624063,8495,3926,null,0,0
162624083,8495,3926,null,0,0
162624126,8659,3868,null,0,0
162624149,8519,3857,null,0,0
162624170,8519,3857,null,0,0
162624193,8519,3857,null,0,0
162624243,8615,3800,null,0,0
162624272,8519,3773,null,0,0
162624313,8519,3773,null,0,0
162624356,8554,3867,null,0,0
162624377,8433,3709,null,0,0
162624400,8433,3709,null,0,0
162624420,8433,3709,null,0,0
162624462,8661,3946,null,0,0
162624485,8431,3807,null,0,0
162624512,8431,3807,null,0,0
162624533,8431,3807,null,0,0
162624575,8727,3975,null,0,0
162624598,8527,3879,null,0,0
162624619,8527,3879,null,0,0
162624642,8527,3879,null,0,0
162624684,8564,3873,null,0,0
162624706,8564,3873,null,0,0
162624730,8564,3873,null,0,0
162624751,8729,3891,null,0,0
162624793,1929,500,null,0,0
162624817,8502,3732,null,0,0
162624840,8431,3840,null,0,0
162624861,8431,3840,null,0,0
162624903,8519,3857,null,0,0
162624927,8571,3898,null,0,0
162624948,8571,3898,null,0,0
162624971,8571,3898,null,0,0
162625013,8519,3773,null,0,0
162625035,8566,3859,null,0,0
162625058,8566,3859,null,0,0
162625079,8480,3816,null,0,0
162625121,8410,3735,null,0,0
162625145,8916,4104,null,0,0
162625166,8567,3827,null,0,0
162625189,8613,3829,null,0,0
162625231,8455,3752,null,0,0
162625256,8455,3752,null,0,0
162625276,8743,3954,null,0,0
162625299,8469,3786,null,0,0
162625343,8469,3786,null,0,0
162625366,8715,4023,null,0,0
162625389,8536,3880,null,0,0
162625410,8536,3880,null,0,0
162625453,8536,3880,null,0,0
162625477,8740,3962,null,0,0
162625497,8580,3904,null,0,0
162625520,8580,3904,null,0,0
162625562,8708,3948,null,0,0
162625586,8596,3895,null,0,0
162625607,8596,3895,null,0,0
162625630,8596,3895,null,0,0
162625672,8659,3863,null,0,0
162625693,8563,3805,null,0,0
162625716,8563,3805,null,0,0
162625737,8563,4004,null,0,0
162625779,8547,3862,null,0,0
162625802,8547,3862,null,0,0
162625823,8547,3862,null,0,0
162625846,8829,4067,null,0,0
162625888,8619,3932,null,0,0
162625910,8619,3932,null,0,0
162625932,8619,3932,null,0,0
162625955,8827,3943,null,0,0
162625997,8630,3910,null,0,0
162626018,8630,3910,null,0,0
162626040,8783,3971,null,0,0
162626061,8598,3866,null,0,0
162626103,8598,3866,null,0,0
162626127,8727,3917,null,0,0
162626148,8561,3789,null,0,0
162626171,8561,3789,null,0,0
162626213,8561,3789,null,0,0
162626234,8738,4021,null,0,0
162626257,8480,3816,null,0,0
162626277,8480,3816,null,0,0
162626321,8480,3816,null,0,0
162626343,8839,3990,null,0,0
162626368,8583,3913,null,0,0
162626399,8583,3913,null,0,0
162626452,8834,4011,null,0,0
162626482,8634,3912,null,0,0
162626502,8634,3912,null,0,0
162626526,8634,3912,null,0,0
162626568,8604,3893,null,0,0
162626590,8604,3893,null,0,0
162626613,8604,3893,null,0,0
162626634,8744,3966,null,0,0
162626676,8565,3847,null,0,0
162626699,8565,3847,null,0,0
162626721,8565,3847,null,0,0
162626742,8558,3904,null,0,0
162626783,8558,3904,null,0,0
162626810,8558,3904,null,0,0
162626831,8892,4112,null,0,0
162626854,8639,3978,null,0,0
