time,ir,red,spo2,hr,temp

163550709,98061,80073,0,0,0
163550814,98061,80073,0,0,0
163550841,98061,80073,0,0,0
163550873,78009,58408,0,0,0
163550933,97797,79720,0,0,0
163550961,97797,79720,0,0,0
163550987,97797,79720,0,0,0
163551035,77794,58259,0,0,0
163551060,97210,79059,0,0,0
163551089,97210,79059,0,0,0
163551136,97210,79059,0,0,0
163551159,77985,58350,0,0,0
163551183,97248,78988,0,0,0
163551207,97248,78988,0,0,0
163551253,97248,78988,0,0,0
163551278,77609,58005,0,0,0
163551301,97212,79058,0,0,0
163551323,97212,79058,0,0,0
163551368,97212,79058,0,0,0
163551392,77550,57978,0,0,0
163551413,96205,77457,0,0,0
163551437,96205,77457,0,0,0
163551481,96205,77457,0,0,0
163551503,16882,500,0,0,0
163551527,79660,59902,0,0,0
163551549,46611,32357,0,0,0
163551595,46611,32357,0,0,0
163551618,46611,32357,0,0,0
163551643,80055,60188,0,0,0
163551664,46616,32352,0,0,0
163551709,46616,32352,0,0,0
163551733,46616,32352,0,0,0
163551755,47905,33102,0,0,0
163551779,47905,33102,0,0,0
163551823,86553,66451,0,0,0
163551846,16882,500,0,0,0
163551870,77669,58113,0,0,0
163551896,93429,74308,0,0,0
163551941,77738,58135,0,0,0
163551963,91837,72755,0,0,0
163551987,91837,72755,0,0,0
163552008,91837,72755,0,0,0
163552051,77894,58259,0,0,0
163552076,91641,72160,0,0,0
163552097,91641,72160,0,0,0
163552124,91641,72160,0,0,0
163552167,77940,58330,0,0,0
163552192,90147,70806,0,0,0
163552213,90147,70806,0,0,0
163552237,90147,70806,0,0,0
163552281,77870,58252,0,0,0
163552302,90169,70834,0,0,0
163552326,90169,70834,0,0,0
163552347,90169,70834,0,0,0
163552392,77645,58069,0,0,0
163552416,90551,71152,0,0,0
163552437,90551,71152,0,0,0
163552461,77503,57887,0,0,0
163552504,90701,71221,0,0,0
163552528,90701,71221,0,0,0
163552549,90701,71221,0,0,0
163552573,77546,57873,0,0,0
163552615,90250,70548,0,0,0
163552637,90250,70548,0,0,0
163552660,90250,70548,0,0,0
163552682,77067,57482,0,0,0
163552724,88253,68618,0,0,0
163552748,88253,68618,0,0,0
