time,ir,red,spo2,hr,temp

112306244,27701,24723,0,0,0
112306286,41393,50926,0,0,0
112306352,26978,25309,0,0,0
112306390,26978,25309,0,0,0
112306534,26978,25309,0,0,0
112306582,38057,47525,0,0,0
112306663,26470,26559,0,0,0
112306707,26470,26559,0,0,0
112306787,26470,26559,0,0,0
112306825,34714,44454,0,0,0
112306891,28007,29797,0,0,0
112306929,28007,29797,0,0,0
112307006,28007,29797,0,0,0
112307037,33985,37860,0,0,0
112307070,33985,37860,0,0,0
112307135,33985,37860,0,0,0
112307168,33985,37860,0,0,0
112307201,44458,47968,0,0,0
112307273,44458,47968,0,0,0
112307309,44458,47968,0,0,0
112307378,44458,36202,0,0,0
112307411,58295,58095,0,0,0
112307485,58295,58095,0,0,0
112307522,58295,58095,0,0,0
112307594,58295,34461,0,0,0
112307630,74693,74538,0,0,0
112307702,74693,74538,0,0,0
112307737,74693,74538,0,0,0
112307810,23886,32953,0,0,0
112307844,90940,87828,0,0,0
112307917,90940,87828,0,0,0
112307952,90940,87828,0,0,0
112308017,22687,31565,0,0,0
112308054,98797,91659,0,0,0
112308121,98797,91659,0,0,0
112308160,98797,91659,0,0,0
112308227,21795,31019,0,0,0
112308266,96828,90497,0,0,0
112308336,96828,90497,0,0,0
112308372,96828,90497,0,0,0
112308443,21384,30639,0,0,0
112308477,95054,89658,0,0,0
112308547,95054,89658,0,0,0
112308583,95054,89658,0,0,0
112308660,21058,30148,0,0,0
112308702,94744,90017,0,0,0
112308769,94744,90017,0,0,0
112308801,20699,29698,0,0,0
112308871,93342,89269,0,0,0
112308904,93342,89269,0,0,0
112308978,93342,89269,0,0,0
112309011,20428,29387,0,0,0
112309075,91451,88389,0,0,0
112309109,91451,88389,0,0,0
112309179,91451,88389,0,0,0
112309213,19881,28748,0,0,0
112309288,88533,86705,0,0,0
112309326,88533,86705,0,0,0
112309437,88533,86705,0,0,0
112309476,19428,28352,0,0,0
112309540,84012,83882,0,0,0
112309575,84012,83882,0,0,0
112309643,84012,83882,0,0,0
112309677,19331,28076,0,0,0
112309743,78612,80435,0,0,0
112309777,78612,80435,0,0,0
112309848,78612,80435,0,0,0
112309886,19087,27715,0,0,0
112309956,73811,76895,0,0,0
112309991,73811,76895,0,0,0
112310058,73811,76895,0,0,0
112310092,18791,27318,0,0,0
112310125,68602,73276,0,0,0
112310196,68602,73276,0,0,0
112310235,68602,73276,0,0,0
112310301,18621,27189,0,0,0
112310337,64088,70086,0,0,0
112310406,64088,70086,0,0,0
112310439,64088,70086,0,0,0
112310510,5586,500,0,0,0
112310545,97993,87230,0,0,0
112310645,38156,43167,0,0,0
112310686,52658,36853,0,0,0
112310757,106338,93590,0,0,0
112310794,106338,93590,0,0,0
112310873,102482,88478,0,0,0
112310909,116,584,0,0,0
112310975,98797,91659,0,0,0
112311008,60417,67370,0,0,0
112311038,60417,67370,0,0,0
112311097,57192,64995,0,0,0
112311130,57192,64995,0,0,0
112311163,57192,64995,0,0,0
112311231,57192,28307,0,0,0
112311266,54720,63100,0,0,0
112311336,54720,63100,0,0,0
112311371,54720,63100,0,0,0
112311403,54720,29206,0,0,0
112311472,52285,61082,0,0,0
112311505,52285,61082,0,0,0
112311540,52285,61082,0,0,0
112311605,21742,30573,0,0,0
112311644,50262,59484,0,0,0
112311707,50262,59484,0,0,0
112311744,50262,59484,0,0,0
112311775,23352,32368,0,0,0
112311836,48523,58146,0,0,0
112311871,48523,58146,0,0,0
112311900,48523,58146,0,0,0
112311965,25206,34263,0,0,0
112311995,47948,57485,0,0,0
112312077,26797,35844,0,0,0
112312108,27911,36900,0,0,0
112312174,28695,37794,0,0,0
112312207,29648,38899,0,0,0
112312237,30760,39884,0,0,0
112312303,31610,40658,0,0,0
112312332,32241,41243,0,0,0
112312363,32657,41723,0,0,0
112312426,33269,42455,0,0,0
112312463,33984,43052,0,0,0
112312527,34459,43385,0,0,0
112312560,34504,43346,0,0,0
112312626,34434,43395,0,0,0
112312659,34707,43762,0,0,0
112312692,35178,44116,0,0,0
112312758,35501,44358,0,0,0
112312794,35737,44521,0,0,0
112312823,36017,44862,0,0,0
112312886,36396,45330,0,0,0
112312921,36739,45531,0,0,0
112312951,36828,45519,0,0,0
112313016,36862,45484,0,0,0
112313051,36936,45620,0,0,0
112313116,37187,46019,0,0,0
112313147,37608,46298,0,0,0
112313183,37681,46253,0,0,0
112313245,37619,46179,0,0,0
112313278,37635,46194,0,0,0
112313314,37469,46168,0,0,0
112313373,37390,45992,0,0,0
112313404,37350,45853,0,0,0
112313433,37371,45806,0,0,0
112313501,42714,50609,0,0,0
112313530,43606,51371,0,0,0
112313561,44204,51773,0,0,0
112313625,44546,52074,0,0,0
112313657,44844,52461,0,0,0
112313693,46035,53243,0,0,0
112313751,46346,53522,0,0,0
112313783,50202,56742,0,0,0
112313814,51897,58407,0,0,0
112313877,35092,42823,0,0,0
112313912,34537,42147,0,0,0
112313943,33600,41262,0,0,0
112314009,32444,39517,0,0,0
112314045,29735,36446,0,0,0
112314122,29130,35800,0,0,0
112314156,29001,35797,0,0,0
112314225,23611,29858,0,0,0
112314255,21912,28292,0,0,0
112314288,20820,27110,0,0,0
112314350,20125,26276,0,0,0
112314383,19353,25484,0,0,0
112314414,18778,24701,0,0,0
112314487,18637,24495,0,0,0
112314521,18623,24578,0,0,0
112314587,19333,25243,0,0,0
112314621,19455,25341,0,0,0
112314655,20127,26058,0,0,0
112314717,18973,24829,0,0,0
112314752,18331,24039,0,0,0
112314782,17466,23117,0,0,0
112314851,15412,20764,0,0,0
112314885,14176,19082,0,0,0
112314918,12749,17318,0,0,0
112314985,9953,14051,0,0,0
112315021,9735,13603,0,0,0
112315054,9370,13080,0,0,0
112315114,8440,11975,0,0,0
112315149,8280,11589,0,0,0
112315183,6255,8882,0,0,0
112315244,5491,7742,0,0,0
112315280,4702,6668,0,0,0
112315310,3987,5816,0,0,0
112315375,5586,500,0,0,0
112315408,102482,88478,0,0,0
112315443,26470,26559,0,0,0
112315508,102215,88210,0,0,0
112315545,102215,88210,0,0,0
112315611,102215,88210,0,0,0
112315645,28007,29797,0,0,0
112315711,101694,87885,0,0,0
112315747,101694,87885,0,0,0
112315812,101694,87885,0,0,0
112315843,57192,64995,0,0,0
112315924,3495,5062,0,0,0
112315956,3305,4769,0,0,0
112316021,2855,4301,0,0,0
112316051,2662,3807,0,0,0
112316082,2409,3402,0,0,0
112316142,1986,2927,0,0,0
112316175,2026,2737,0,0,0
112316212,1610,2089,0,0,0
112316274,1782,2033,0,0,0
112316309,1737,1894,0,0,0
112316338,1478,1772,0,0,0
112316400,1663,1981,0,0,0
112316430,1847,1932,0,0,0
112316466,1394,1534,0,0,0
112316533,1601,1825,0,0,0
112316565,1810,1830,0,0,0
112316600,1353,1414,0,0,0
112316662,1550,1749,0,0,0
112316696,1793,1792,0,0,0
112316732,1350,1438,0,0,0
112316793,1542,1757,0,0,0
112316825,1402,1378,0,0,0
112316858,1510,1697,0,0,0
112316923,1807,1771,0,0,0
112316956,1419,1408,0,0,0
112316990,1528,1676,0,0,0
112317053,1851,1766,0,0,0
112317086,1560,1376,0,0,0
112317123,1634,1703,0,0,0
112317189,1995,1826,0,0,0
112317222,1722,1479,0,0,0
112317257,4175,3167,0,0,0
112317328,7827,6633,0,0,0
112317371,8599,7480,0,0,0
112317433,9357,8430,0,0,0
112317466,12096,11122,0,0,0
112317497,12985,12153,0,0,0
112317561,19351,18799,0,0,0
112317592,22468,22002,0,0,0
112317624,24984,24626,0,0,0
112317690,28120,27643,0,0,0
112317725,28013,27560,0,0,0
112317759,27894,27629,0,0,0
112317829,26724,26369,0,0,0
112317865,25905,25620,0,0,0
112317896,22440,22074,0,0,0
112317962,21468,21073,0,0,0
112317996,20276,20030,0,0,0
112318026,14697,14465,0,0,0
112318090,14397,14103,0,0,0
112318120,14110,13856,0,0,0
112318151,14219,13983,0,0,0
112318215,14070,13811,0,0,0
