time,spo2,hr,temp
10:22:02.193,95,75,34.9
10:22:05.168,97,75,
10:22:11.222,96,,
10:22:14.220,94,72,
10:22:17.295,96,72,35.2
10:22:20.276,95,,
10:22:23.300,96,,
10:22:26.312,96,72,
10:23:20.719,100,,
10:23:26.767,99,,
10:23:29.779,96,,
10:23:32.857,95,,33.8
10:23:35.829,95,64,
10:23:38.852,97,68,
10:23:41.866,95,,
10:23:44.897,95,68,
10:23:47.970,95,66,33.8
10:23:50.918,96,70,
10:23:53.942,99,74,
10:23:56.964,97,73,
10:23:59.999,96,74,
10:24:03.094,96,75,34.1
10:24:06.047,95,76,
10:24:09.069,97,73,
10:24:12.092,98,77,
10:24:15.106,97,78,
10:24:18.199,96,80,34.1
10:24:21.166,97,80,
10:24:24.172,94,80,
10:24:27.200,93,83,
10:24:30.218,95,,
10:24:33.315,96,,34.6
10:24:36.255,95,87,
10:24:39.271,94,88,
10:24:42.292,94,87,
10:24:45.331,97,87,
10:24:48.399,97,86,34.5
10:24:51.368,99,86,
10:24:54.383,97,84,
10:25:00.428,95,81,
10:25:03.512,95,79,34.9
10:25:06.475,95,81,
10:25:09.496,96,78,
