time,cnt,ir,red,green,spo2,hr,temp
13:13:02:156,3873,122837,106288,10714,0,0,0
13:13:02:185,3903,153932,126201,11369,0,0,0
13:13:02:213,3933,155649,127132,11611,0,0,0
13:13:02:243,3963,155796,127221,11769,0,0,0
13:13:02:275,3993,155028,126705,11670,0,0,0
13:13:02:304,4022,154104,126595,11232,0,0,0
13:13:02:335,4052,152993,125476,11003,0,0,0
13:13:02:363,4082,150876,124014,11049,0,0,0
13:13:02:393,4112,148586,122593,11127,0,0,0
13:13:02:423,4141,146438,121268,11134,0,0,0
13:13:02:453,4171,145161,120732,11029,0,0,0
13:13:02:483,4201,144673,121136,10794,0,0,0
13:13:02:513,4231,145362,121634,10783,0,0,0
13:13:02:543,4261,156927,127032,10518,0,0,0
13:13:02:603,4290,155703,127326,10525,0,0,0
13:13:02:633,4332,151594,127222,10195,98,74,0
13:13:02:664,4354,150436,126986,10114,0,0,0
13:13:02:693,4380,140699,123605,8623,0,0,0
13:13:02:722,4409,126278,115068,7782,0,0,0
13:13:02:755,4469,120607,111963,7601,0,0,0
13:13:03:054,4767,113037,106524,7263,0,0,0
13:13:03:084,4797,115914,108346,7450,0,0,0
13:13:03:143,4827,122380,112281,7776,0,0,0
13:13:03:173,4857,135460,113405,8050,0,0,0
13:13:03:235,4886,142336,117124,8801,0,0,0
13:13:03:264,4917,143240,119093,9064,0,0,0
13:13:03:296,4946,143144,119041,9118,0,0,0
13:13:03:325,5005,141727,118039,9180,0,0,0
13:13:03:353,5035,141348,117636,9278,0,0,0
13:13:03:384,5095,141089,117110,9605,0,0,0
13:13:25:042,26722,110535,70312,9489,0,0,0
13:13:25:065,26744,116215,72630,9577,0,0,0
13:13:25:088,26766,119774,75769,9986,0,0,0
13:13:25:113,26787,125577,80653,10767,0,0,0
13:13:25:132,26809,128949,85472,11984,0,0,0
13:13:25:154,26830,132186,88497,12869,0,0,0
13:13:25:177,26852,136195,93299,14085,0,0,0
13:13:25:201,26874,133677,93197,14351,0,0,0
13:13:25:222,26895,130726,93081,14354,0,0,0
13:13:25:252,26917,129110,92788,14464,0,0,0
13:13:25:545,27220,114817,69804,12597,0,0,0
13:13:25:568,27242,122919,75235,13603,0,0,0
13:13:25:592,27263,132805,81009,14880,0,0,0
13:13:25:614,27285,146157,89212,16642,0,0,0
13:13:26:704,28364,187062,110189,20362,98,72,28.5
13:13:26:722,28386,188911,109295,19094,0,0,0
13:13:26:745,28408,173823,103418,15705,0,0,0
13:13:26:768,28429,152500,96681,12555,0,0,0
13:13:26:792,28451,133338,88335,10626,0,0,0
13:13:26:805,28473,125289,81177,9990,0,0,0
13:13:26:833,28494,121157,76209,9711,0,0,0
13:13:26:849,28516,119714,71871,9662,0,0,0
13:13:26:874,28538,121263,70082,9690,0,0,0
13:13:26:895,28559,126696,70964,9959,0,0,0
13:13:26:918,28581,131496,72970,10387,0,0,0
13:13:26:942,28603,140830,76971,11317,0,0,0
13:13:26:962,28624,152379,82845,12572,0,0,0
13:13:26:985,28646,166503,90585,14058,0,0,0
13:13:27:008,28668,188337,106445,16793,0,0,0
13:13:27:035,28689,204680,111204,17468,0,0,0
13:13:27:135,28797,134668,67450,14292,0,0,0
13:13:27:158,28819,138231,77851,13782,0,0,0
13:13:27:182,28841,139221,81141,13134,0,0,0
13:13:27:203,28863,139451,81882,13254,0,0,0
13:13:27:227,28884,142050,84524,13709,0,0,0
13:13:27:249,28906,144040,87052,14272,0,0,0
13:13:27:270,28927,148624,91538,15496,0,0,0
13:13:27:285,28949,153543,96694,16498,0,0,0
13:13:27:308,28971,156446,101184,17159,0,0,0
13:13:27:332,28992,154766,100831,17293,0,0,0
13:13:39:668,41242,110259,40915,8443,0,0,0
13:13:39:690,41263,113115,41275,8720,0,0,0
13:13:39:712,41285,118248,42967,9406,0,0,0
13:13:39:739,41307,121114,44231,9739,0,0,0
13:13:39:757,41328,121360,44352,9771,0,0,0
13:13:39:794,41350,120972,44230,9767,0,0,0
13:13:39:804,41371,119900,43773,9656,0,0,0
13:13:39:828,41393,119455,43531,9604,0,0,0
13:13:39:848,41414,119548,43530,9634,0,0,0
13:13:39:870,41436,119917,43628,9657,0,0,0
13:13:39:898,41457,120498,43868,9714,0,0,0
13:13:39:906,41479,120385,43777,9761,0,0,0
13:13:39:930,41501,120796,43983,9755,0,0,0
13:13:39:953,41523,120851,44057,9758,0,0,0
13:13:39:978,41544,120861,44069,9779,0,0,0
13:13:40:000,41566,120783,44054,9775,0,0,0
13:13:40:022,41587,120700,44007,9770,0,0,0
13:13:40:044,41609,120735,44046,9766,0,0,0
13:13:40:065,41631,120764,44054,9780,0,0,0
13:13:40:088,41652,120935,44172,9803,0,0,0
13:13:40:109,41674,121202,44263,9843,0,0,0
13:13:40:129,41695,121575,44424,9888,0,0,0
13:13:40:147,41717,121831,44623,9931,0,0,0
13:13:40:169,41739,122063,44744,9956,0,0,0
13:13:40:194,41761,122019,44713,9950,0,0,0
13:13:40:217,41782,122128,44737,9971,0,0,0
13:13:40:237,41804,122345,44839,9995,0,0,0
13:13:40:260,41825,122597,44979,10010,0,0,0
13:13:40:283,41847,122703,45020,10015,0,0,0
13:13:40:309,41868,122848,45129,10054,0,0,0
13:13:40:326,41890,123013,45221,10067,0,0,0
13:13:40:343,41912,123066,45242,10067,0,0,0
13:13:40:367,41933,123136,45308,10082,0,0,0
13:13:40:388,41955,123102,45280,10072,0,0,0
13:13:40:410,41977,122971,45217,10054,0,0,0
13:13:40:433,41998,122997,45231,10057,0,0,0
13:13:40:457,42020,123006,45243,10067,0,0,0
13:13:40:477,42042,122997,45229,10071,0,0,0
13:13:40:502,42063,123069,45292,10068,0,0,0
13:13:40:524,42085,123032,45280,10083,0,0,0
13:13:40:545,42107,122974,45249,10062,0,0,0
13:13:40:567,42128,123000,45255,10065,0,0,0
13:13:40:582,42150,122961,45267,10073,0,0,0
13:13:40:607,42171,123001,45294,10068,0,0,0
13:13:40:628,42193,123039,45309,10075,0,0,0
13:13:40:650,42215,122898,45293,10056,0,0,0
13:13:40:673,42236,122902,45304,10060,0,0,0
13:13:40:697,42258,122785,45235,10053,0,0,0
13:13:40:719,42279,122699,45220,10035,0,0,0
13:13:40:740,42301,122731,45237,10032,0,0,0
13:13:41:846,43381,122679,45199,10040,96,0,28.6
13:13:41:850,43403,122625,45183,10022,0,0,0
13:13:41:873,43425,122664,45200,10030,0,0,0
13:13:41:895,43446,122667,45221,10019,0,0,0
13:13:41:910,43468,122750,45218,10034,0,0,0
13:13:41:934,43489,122926,45307,10051,0,0,0
13:13:41:955,43511,123000,45339,10046,0,0,0
13:13:41:977,43532,123052,45337,10040,0,0,0
13:13:42:001,43554,123171,45377,10048,0,0,0
13:13:42:023,43575,123184,45407,10074,0,0,0
13:13:42:060,43597,123287,45447,10072,0,0,0
13:13:42:068,43618,123398,45445,10079,0,0,0
13:13:42:089,43640,123625,45541,10083,0,0,0
13:13:42:105,43661,123729,45581,10094,0,0,0
13:13:42:127,43683,123727,45592,10107,0,0,0
13:13:42:152,43705,123685,45564,10097,0,0,0
13:13:42:174,43726,123688,45580,10138,0,0,0
13:13:42:195,43748,123736,45612,10113,0,0,0
13:13:42:217,43770,123707,45617,10109,0,0,0
13:13:42:241,43792,123705,45633,10102,0,0,0
13:13:42:274,43813,123643,45608,10104,0,0,0
13:13:42:292,43835,123599,45609,10100,0,0,0
13:13:42:307,43857,123572,45598,10087,0,0,0
13:13:42:332,43878,123585,45610,10109,0,0,0
13:13:42:345,43900,123542,45607,10095,0,0,0
13:13:42:369,43921,123474,45560,10090,0,0,0
