time,spo2,hr,temp
15:44:49.618,98,91,
15:45:07.500,97,,
15:46:32.158,93,82,31
15:46:35.138,94,84,
15:46:44.203,97,83,
15:46:47.249,96,,33
15:46:50.236,92,,
15:46:53.256,90,85,
15:46:56.287,91,81,
15:46:59.311,88,81,
15:47:02.373,88,,33.1
15:47:05.355,87,85,
15:47:08.377,87,,
15:47:11.402,90,79,
15:47:14.431,93,,
15:47:17.478,95,83,33.2
15:47:20.450,94,78,
15:47:23.478,96,,
15:47:26.510,94,,
15:47:29.520,92,74,
15:47:32.594,91,78,33.3
15:47:35.569,92,80,
15:47:38.598,95,76,
15:47:41.625,97,,
15:47:44.647,99,,
15:47:47.699,98,80,33.3
15:47:50.678,97,81,
15:47:53.697,89,,
15:47:56.733,89,78,
15:47:59.747,89,,
15:48:02.817,91,,33.4
15:48:05.822,93,,
15:48:20.895,95,68,
15:48:23.911,98,,
15:48:26.938,99,,
15:48:29.968,96,70,
15:48:08.885,95,,
15:48:11.900,93,74,
15:48:14.858,93,,
15:48:17.909,94,73,33.4
15:48:45.083,100,,
15:48:48.129,100,,33.4
15:48:51.168,99,,
15:48:54.205,100,,
15:48:57.224,100,,
15:49:00.170,100,,
15:49:03.243,100,,33.4
15:49:06.223,100,,
15:49:09.251,97,72,
15:49:12.274,93,70,
15:49:15.300,83,70,
15:49:18.346,88,,33.3
15:48:33.032,88,70,33.3
15:48:36.075,93,72,
15:48:39.031,96,68,
15:48:42.059,97,73,
15:49:21.346,91,,
15:49:24.369,93,72,
15:49:27.398,95,,
