time,cnt,ir,red,green,spo2,hr,temp
15:44:49:618,4473,166046,151153,29399,98,91,0
15:44:49:666,4512,131537,116537,22882,0,0,0
15:44:49:717,4561,124623,106959,21379,0,0,0
15:44:49:766,4611,122096,102789,20736,0,0,0
15:44:49:818,4661,122269,99903,20808,0,0,0
15:44:49:868,4710,128028,98891,22382,0,0,0
15:44:49:917,4760,138105,100554,25256,0,0,0
15:44:49:968,4810,148505,104974,27710,0,0,0
15:44:50:068,4859,157766,109878,29439,0,0,0
15:44:50:165,4909,178278,131636,33579,0,0,0
15:44:50:425,5256,112047,78144,17024,0,0,0
15:44:50:436,5306,116600,78238,17124,0,0,0
15:44:50:448,5355,155845,106697,22848,0,0,0
15:44:50:459,5405,174264,131208,26573,0,0,0
15:44:50:470,5454,172005,138537,29141,0,0,0
15:44:50:482,5513,161036,130577,27605,0,0,0
15:44:50:494,5535,162768,129793,27292,0,0,0
15:44:50:504,5556,162285,127803,26914,0,0,0
15:44:50:517,5578,168146,127515,26185,0,0,0
15:44:50:540,5599,131072,89887,17891,0,0,0
15:44:51:066,6116,112815,73751,15128,0,0,0
15:44:51:077,6137,137350,93402,19235,0,0,0
15:44:51:114,6159,153653,107834,22292,0,0,0
15:44:51:122,6180,175373,127563,26252,0,0,0
15:44:51:146,6202,168567,122474,25255,0,0,0
15:44:51:171,6223,166235,120593,24920,0,0,0
15:44:51:191,6245,168335,122383,25422,0,0,0
15:44:51:213,6266,168374,123271,25497,0,0,0
15:44:51:237,6288,166950,122049,25250,0,0,0
15:44:51:259,6309,164145,119496,24734,0,0,0
15:44:51:282,6331,160582,116155,24098,0,0,0
15:44:51:304,6352,158025,113808,23653,0,0,0
15:44:51:326,6374,161910,116819,24464,0,0,0
15:44:51:348,6395,175475,128376,27110,0,0,0
15:44:51:359,6417,188743,139415,30375,0,0,0
15:44:51:382,6438,205156,155960,33258,0,0,0
15:44:51:403,6460,210375,167049,34201,0,0,0
15:44:51:426,6481,208672,167736,34287,0,0,0
15:44:51:449,6503,205960,166308,34000,0,0,0
15:44:51:471,6524,200363,163297,33144,0,0,0
15:44:52:486,7525,113462,85366,20994,0,0,0
15:44:52:508,7546,115437,87174,21776,0,0,0
15:44:52:530,7568,117175,90091,22476,0,0,0
15:44:52:542,7589,118259,93280,23417,0,0,0
15:44:52:565,7611,120908,97736,24959,0,0,0
15:44:52:587,7632,122954,97623,25424,0,0,0
15:44:52:610,7654,124914,98314,25630,0,0,0
15:44:52:632,7675,125836,99536,25783,0,0,0
15:44:52:665,7697,125574,99748,25857,0,0,0
15:44:52:676,7718,126893,100394,26136,0,0,0
15:44:52:698,7740,128897,100929,26721,0,0,0
15:44:52:723,7761,133049,102460,27626,0,0,0
15:44:52:745,7783,137356,104694,28466,0,0,0
15:44:52:767,7804,141155,107031,29393,0,0,0
15:44:52:790,7826,142956,108319,29725,0,0,0
15:44:52:813,7847,144796,109679,30165,0,0,0
15:44:52:823,7869,146739,112053,30414,0,0,0
15:44:52:846,7890,149366,115897,30495,0,0,0
15:44:52:869,7912,145178,117715,28187,0,0,0
15:44:52:891,7933,136690,105693,26468,0,0,0
15:44:52:912,7955,138730,108376,27095,0,0,0
15:44:52:935,7976,137560,108529,26804,0,0,0
15:44:52:957,7998,134541,106086,26134,0,0,0
15:44:52:981,8019,133701,105358,25921,0,0,0
15:44:53:016,8041,133412,104944,25894,0,0,0
15:44:53:024,8062,130739,102672,25394,0,0,0
15:44:53:051,8084,130470,102733,25370,0,0,0
15:44:53:069,8105,129734,102224,25211,0,0,0
15:44:53:099,8127,128406,101031,24948,0,0,0
15:44:53:104,8148,127296,99978,24705,0,0,0
