time,spo2,hr,temp
14:45:47.726,99,78,
14:45:53.819,98,81,34.6
14:45:56.795,96,83,
14:46:02.823,99,,
14:46:08.916,94,,34.9
14:46:11.903,95,,
14:46:20.958,92,80,
14:46:24.036,90,80,34.8
14:46:26.999,92,,
14:46:30.221,94,,
14:46:33.050,96,,
14:46:36.067,95,80,
14:46:39.144,95,,34.4
14:46:42.121,96,78,
14:46:45.146,98,83,
14:46:48.163,100,,
14:46:51.175,99,,
14:46:54.253,97,83,34.5
14:46:57.228,99,84,
14:47:00.254,96,,
14:47:06.294,99,84,
14:47:09.361,100,,33.8
14:47:12.351,100,,
14:47:21.393,97,88,
14:47:24.481,95,90,33.5
14:47:27.436,93,87,
