time,cnt,ir,red,green,spo2,hr,temp
14:45:45:013,2950,128599,109082,22489,0,0,0
14:45:45:045,2980,126906,107461,22189,0,0,0
14:45:45:072,3010,121002,102902,20984,0,0,0
14:45:45:105,3040,117528,99647,20302,0,0,0
14:45:45:133,3069,113074,95924,19458,0,0,0
14:45:45:163,3099,114032,96183,19734,0,0,0
14:45:45:194,3129,111944,94317,19128,0,0,0
14:45:45:224,3159,110467,93494,18848,0,0,0
14:45:45:253,3189,112826,95121,19319,0,0,0
14:45:45:286,3218,117167,99039,20252,0,0,0
14:45:45:315,3248,120638,101951,20812,0,0,0
14:45:45:343,3278,127358,108031,22128,0,0,0
14:45:45:374,3308,129345,109727,22401,0,0,0
14:45:45:404,3337,134369,114329,23464,0,0,0
14:45:45:435,3367,134577,115093,23600,0,0,0
14:45:45:464,3397,132983,114573,23588,0,0,0
14:45:45:493,3427,136492,117563,24305,0,0,0
14:45:45:523,3457,133151,115500,24012,0,0,0
14:45:45:553,3486,131046,114028,23649,0,0,0
14:45:45:586,3516,127398,112018,23151,0,0,0
14:45:45:613,3546,121960,107538,22248,0,0,0
14:45:45:644,3576,117775,103371,21331,0,0,0
14:45:45:707,3606,121444,105744,21865,0,0,0
14:45:45:734,3635,124607,107492,22291,0,0,0
14:45:45:766,3666,123400,106221,21893,0,0,0
14:45:45:793,3695,120456,103533,21380,0,0,0
14:45:45:824,3725,117794,101375,20746,0,0,0
14:45:45:854,3785,116468,100292,20484,0,0,0
14:45:45:883,3814,114200,98412,20090,0,0,0
14:45:45:913,3844,111840,96630,19622,0,0,0
14:45:46:934,4856,115268,98397,20557,0,0,0
14:45:46:988,4886,125613,105987,22516,0,0,0
14:45:47:023,4916,130095,109469,23353,0,0,0
14:45:47:084,4946,138188,115364,24793,0,0,0
14:45:47:113,4976,140831,116968,25212,0,0,0
14:45:47:144,5005,144105,118967,25743,0,0,0
14:45:47:174,5036,146865,120797,26143,0,0,0
14:45:47:205,5095,150001,123016,26600,0,0,0
14:45:47:234,5154,151197,123702,26812,0,0,0
14:45:47:266,5184,155910,127073,27439,0,0,0
14:45:47:294,5214,159361,129421,27958,0,0,0
14:45:47:294,5244,163729,132319,28502,0,0,0
14:45:47:308,5273,166393,134020,28885,0,0,0
14:45:47:309,5303,171977,137667,29568,0,0,0
14:45:47:320,5333,178220,141473,30195,0,0,0
14:45:47:332,5355,179251,142158,30347,0,0,0
14:45:47:345,5377,184304,144845,30704,0,0,0
14:45:47:353,5399,187441,145852,30575,0,0,0
14:45:47:377,5420,188997,146369,30426,0,0,0
14:45:47:400,5442,193824,148554,30319,0,0,0
14:45:47:425,5464,196178,150033,30583,0,0,0
14:45:47:444,5485,201887,154770,31844,0,0,0
14:45:47:465,5507,204007,156779,32362,0,0,0
14:45:47:488,5528,206207,158610,32935,0,0,0
14:45:47:513,5550,206520,158954,33040,0,0,0
14:45:47:534,5571,206540,158795,33020,0,0,0
14:45:47:555,5593,207394,159422,33254,0,0,0
14:45:47:580,5614,208735,160484,33833,0,0,0
14:45:47:602,5636,209790,161745,34574,0,0,0
14:45:47:626,5658,205420,160265,34789,0,0,0
14:45:47:654,5679,199772,157978,34411,0,0,0
14:45:47:656,5701,182091,148372,32190,0,0,0
14:45:47:683,5723,173484,143128,30854,0,0,0
