time,ir,red,spo2,hr,temp

11:33:34.944,151831,0,0,0,0
11:33:34.978,151937,0,0,0,0
11:33:35.065,152150,0,0,0,0
11:33:35.103,152207,0,0,0,0
11:33:35.177,152403,0,0,0,0
11:33:35.210,152373,0,0,0,0
11:33:35.243,152565,0,0,0,0
11:33:35.304,152511,0,0,0,0
11:33:35.335,152780,0,0,0,0
11:33:35.364,152818,0,0,0,0
11:33:35.420,152876,0,0,0,0
11:33:35.449,152555,0,0,0,0
11:33:35.476,152799,0,0,0,0
11:33:35.532,152710,0,0,0,0
11:33:35.559,152444,0,0,0,0
11:33:35.588,152587,0,0,0,0
11:33:35.641,152468,0,0,0,0
11:33:35.671,152419,0,0,0,0
11:33:35.697,152404,0,0,0,0
11:33:35.751,152369,0,0,0,0
11:33:35.779,152341,0,0,0,0
11:33:35.808,152146,0,0,0,0
11:33:35.862,152257,0,0,0,0
11:33:35.889,152218,0,0,0,0
11:33:35.918,152152,0,0,0,0
11:33:36.000,152100,0,0,0,0
11:33:36.097,152075,0,0,0,0
11:33:36.125,152015,0,0,0,0
11:33:36.152,152033,0,0,0,0
11:33:36.205,152134,0,0,0,0
11:33:36.230,152072,0,0,0,0
11:33:36.258,151935,0,0,0,0
11:33:36.310,151853,0,0,0,0
11:33:36.339,151785,0,0,0,0
11:33:36.364,151793,0,0,0,0
11:33:36.420,152030,0,0,0,0
11:33:36.446,151717,0,0,0,0
11:33:36.474,152022,0,0,0,0
11:33:36.527,151987,0,0,0,0
11:33:36.555,151947,0,0,0,0
11:33:36.580,152117,0,0,0,0
11:33:36.633,152138,0,0,0,0
11:33:36.661,151998,0,0,0,0
11:33:36.689,152158,0,0,0,0
11:33:36.742,152044,0,0,0,0
11:33:36.768,151958,0,0,0,0
11:33:36.796,151967,0,0,0,0
11:33:36.849,151921,0,0,0,0
11:33:36.877,151979,0,0,0,0
11:33:36.903,151906,0,0,0,0
11:33:36.959,152023,0,0,0,0
11:33:36.984,151999,0,0,0,0
11:33:37.025,152152,0,0,0,0
11:33:37.096,152129,0,0,0,0
11:33:37.125,152181,0,0,0,0
11:33:37.151,152166,0,0,0,0
11:33:37.203,151971,0,0,0,0
11:33:37.231,152173,0,0,0,0
11:33:37.259,152126,0,0,0,0
11:33:37.313,152161,0,0,0,0
11:33:37.341,152236,0,0,0,0
11:33:37.366,152226,0,0,0,0
11:33:37.418,152288,0,0,0,0
11:33:37.446,152252,0,0,0,0
11:33:37.474,152121,0,0,0,0
11:33:37.527,152204,0,0,0,0
11:33:37.553,151535,0,0,0,0
11:33:37.627,151372,0,0,0,0
11:33:37.657,151255,0,0,0,0
11:33:37.686,151395,0,0,0,0
11:33:37.740,151722,0,0,0,0
11:33:37.767,151813,0,0,0,0
11:33:37.794,151874,0,0,0,0
11:33:37.845,151925,0,0,0,0
11:33:37.873,152111,0,0,0,0
11:33:37.900,152080,0,0,0,0
11:33:37.955,151998,0,0,0,0
11:33:38.004,151846,0,0,0,0
11:33:38.070,151871,0,0,0,0
11:33:38.097,151893,0,0,0,0
11:33:38.121,151858,0,0,0,0
11:33:38.170,151967,0,0,0,0
11:33:38.196,152018,0,0,0,0
11:33:38.222,152004,0,0,0,0
11:33:38.246,152098,0,0,0,0
11:33:38.295,151985,0,0,0,0
11:33:38.322,152237,0,0,0,0
11:33:38.346,151915,0,0,0,0
11:33:38.395,152003,0,0,0,0
11:33:38.422,152111,0,0,0,0
11:33:38.447,152216,0,0,0,0
11:33:38.498,152045,0,0,0,0
11:33:38.522,152151,0,0,0,0
11:33:38.548,152138,0,0,0,0
11:33:38.596,151862,0,0,0,0
11:33:38.621,151789,0,0,0,0
11:33:38.647,150594,0,0,0,0
11:33:38.670,150501,0,0,0,0
11:33:38.718,150830,0,0,0,0
11:33:38.744,150817,0,0,0,0
11:33:38.769,151021,0,0,0,0
11:33:38.792,151137,0,0,0,0
11:33:38.840,151244,0,0,0,0
11:33:38.876,150948,0,0,0,0
11:33:38.959,150941,0,0,0,0
11:33:38.983,150890,0,0,0,0
11:33:39.009,150491,0,0,0,0
11:33:39.057,150216,0,0,0,0
11:33:39.084,150343,0,0,0,0
11:33:39.108,150557,0,0,0,0
11:33:39.157,150953,0,0,0,0
11:33:39.182,151118,0,0,0,0
11:33:39.206,151022,0,0,0,0
11:33:39.232,151247,0,0,0,0
11:33:39.280,151363,0,0,0,0
11:33:39.304,151469,0,0,0,0
11:33:39.329,151260,0,0,0,0
11:33:39.378,151571,0,0,0,0
11:33:39.404,151772,0,0,0,0
11:33:39.427,151842,0,0,0,0
11:33:39.453,151841,0,0,0,0
11:33:39.500,151809,0,0,0,0
