time,ir,red,spo2,hr,temp

11:43:23.542,142953,0,0,0,0
11:43:23.678,142930,0,0,0,0
11:43:23.705,142913,0,0,0,0
11:43:23.737,142876,0,0,0,0
11:43:23.793,142870,0,0,0,0
11:43:23.824,142894,0,0,0,0
11:43:23.852,142888,0,0,0,0
11:43:23.903,142898,0,0,0,0
11:43:23.931,142902,0,0,0,0
11:43:23.956,142896,0,0,0,0
11:43:24.008,142931,0,0,0,0
11:43:24.031,142937,0,0,0,0
11:43:24.057,142952,0,0,0,0
11:43:24.109,142942,0,0,0,0
11:43:24.135,142950,0,0,0,0
11:43:24.158,142908,0,0,0,0
11:43:24.183,142910,0,0,0,0
11:43:24.230,142876,0,0,0,0
11:43:24.256,142921,0,0,0,0
11:43:24.279,142916,0,0,0,0
11:43:24.304,142786,0,0,0,0
11:43:24.353,142692,0,0,0,0
11:43:24.378,142737,0,0,0,0
11:43:24.401,142612,0,0,0,0
11:43:24.427,142579,0,0,0,0
11:43:24.474,142619,0,0,0,0
11:43:24.501,142636,0,0,0,0
11:43:24.525,142600,0,0,0,0
11:43:24.578,142592,0,0,0,0
11:43:24.601,142630,0,0,0,0
11:43:24.627,142627,0,0,0,0
11:43:24.650,142601,0,0,0,0
11:43:24.701,142579,0,0,0,0
11:43:24.724,142553,0,0,0,0
11:43:24.750,142572,0,0,0,0
11:43:24.773,142545,0,0,0,0
11:43:24.822,142499,0,0,0,0
11:43:24.846,142441,0,0,0,0
11:43:24.871,142328,0,0,0,0
11:43:24.894,142346,0,0,0,0
11:43:24.944,142281,0,0,0,0
11:43:24.968,142300,0,0,0,0
11:43:24.994,142330,0,0,0,0
11:43:25.017,142365,0,0,0,0
11:43:25.066,142392,0,0,0,0
11:43:25.090,142343,0,0,0,0
11:43:25.115,142293,0,0,0,0
11:43:25.138,142326,0,0,0,0
11:43:25.188,142327,0,0,0,0
11:43:25.212,142333,0,0,0,0
11:43:25.237,142139,0,0,0,0
11:43:25.261,142021,0,0,0,0
11:43:25.310,141955,0,0,0,0
11:43:25.333,141965,0,0,0,0
11:43:25.358,141988,0,0,0,0
11:43:25.381,141979,0,0,0,0
11:43:25.431,141946,0,0,0,0
11:43:25.454,141912,0,0,0,0
11:43:25.480,141915,0,0,0,0
11:43:25.503,141964,0,0,0,0
11:43:25.552,141975,0,0,0,0
11:43:25.576,141964,0,0,0,0
11:43:25.602,141964,0,0,0,0
11:43:25.625,141961,0,0,0,0
11:43:25.674,141948,0,0,0,0
11:43:25.697,141945,0,0,0,0
11:43:25.722,141952,0,0,0,0
