time,ir,red,spo2,hr,temp

11:53:01.866,156485,0,0,0,0
11:53:01.993,156432,0,0,0,0
11:53:02.026,156401,0,0,0,0
11:53:02.056,156412,0,0,0,0
11:53:02.113,156411,0,0,0,0
11:53:02.139,156395,0,0,0,0
11:53:02.167,156374,0,0,0,0
11:53:02.220,156431,0,0,0,0
11:53:02.249,156540,0,0,0,0
11:53:02.275,156687,0,0,0,0
11:53:02.324,156688,0,0,0,0
11:53:02.350,156690,0,0,0,0
11:53:02.382,156746,0,0,0,0
11:53:02.430,156730,0,0,0,0
11:53:02.455,156745,0,0,0,0
11:53:02.480,156743,0,0,0,0
11:53:02.530,156776,0,0,0,0
11:53:02.556,156798,0,0,0,0
11:53:02.579,156779,0,0,0,0
11:53:02.604,156798,0,0,0,0
11:53:02.652,156819,0,0,0,0
11:53:02.678,156813,0,0,0,0
11:53:02.702,156836,0,0,0,0
11:53:02.727,156842,0,0,0,0
11:53:02.775,156846,0,0,0,0
11:53:02.801,156844,0,0,0,0
11:53:02.823,156846,0,0,0,0
11:53:02.850,156877,0,0,0,0
11:53:02.898,156892,0,0,0,0
11:53:02.924,156901,0,0,0,0
11:53:02.948,156865,0,0,0,0
11:53:02.973,156758,0,0,0,0
11:53:03.020,156653,0,0,0,0
11:53:03.046,156625,0,0,0,0
11:53:03.069,156643,0,0,0,0
11:53:03.095,156662,0,0,0,0
11:53:03.143,156637,0,0,0,0
11:53:03.169,156684,0,0,0,0
11:53:03.195,156676,0,0,0,0
11:53:03.220,156614,0,0,0,0
11:53:03.268,156666,0,0,0,0
11:53:03.294,156583,0,0,0,0
11:53:03.320,156675,0,0,0,0
11:53:03.343,156652,0,0,0,0
11:53:03.390,156643,0,0,0,0
11:53:03.417,156651,0,0,0,0
11:53:03.442,156668,0,0,0,0
11:53:03.466,156692,0,0,0,0
11:53:03.513,156712,0,0,0,0
11:53:03.539,156711,0,0,0,0
11:53:03.564,156731,0,0,0,0
11:53:03.588,156758,0,0,0,0
11:53:03.635,156800,0,0,0,0
11:53:03.660,156823,0,0,0,0
11:53:03.685,156835,0,0,0,0
11:53:03.708,156845,0,0,0,0
11:53:03.755,156886,0,0,0,0
11:53:03.780,156919,0,0,0,0
11:53:03.805,156936,0,0,0,0
11:53:03.828,156884,0,0,0,0
11:53:03.876,156952,0,0,0,0
11:53:03.901,156998,0,0,0,0
11:53:03.928,157063,0,0,0,0
11:53:03.951,157054,0,0,0,0
11:53:03.998,157005,0,0,0,0
11:53:04.047,157039,0,0,0,0
11:53:04.070,157059,0,0,0,0
11:53:04.124,157082,0,0,0,0
11:53:04.151,157101,0,0,0,0
11:53:04.175,157128,0,0,0,0
11:53:04.250,157118,0,0,0,0
11:53:04.298,157109,0,0,0,0
11:53:04.344,157115,0,0,0,0
11:53:04.368,157043,0,0,0,0
11:53:04.394,157153,0,0,0,0
11:53:04.418,157077,0,0,0,0
11:53:04.461,156999,0,0,0,0
11:53:04.482,156781,0,0,0,0
11:53:04.505,156794,0,0,0,0
11:53:04.527,156735,0,0,0,0
11:53:04.570,156735,0,0,0,0
11:53:04.595,156779,0,0,0,0
11:53:04.620,156869,0,0,0,0
11:53:04.641,156792,0,0,0,0
11:53:04.690,156868,0,0,0,0
11:53:04.714,156831,0,0,0,0
11:53:04.734,156886,0,0,0,0
11:53:04.757,156907,0,0,0,0
11:53:04.801,156903,0,0,0,0
11:53:04.823,156937,0,0,0,0
11:53:04.847,156932,0,0,0,0
11:53:04.874,156956,0,0,0,0
11:53:04.919,156959,0,0,0,0
11:53:04.942,156990,0,0,0,0
11:53:04.965,156996,0,0,0,0
11:53:04.987,157001,0,0,0,0
11:53:05.034,157025,0,0,0,0
11:53:05.058,157030,0,0,0,0
11:53:05.084,157034,0,0,0,0
11:53:05.105,157081,0,0,0,0
11:53:05.149,157107,0,0,0,0
11:53:05.173,157099,0,0,0,0
11:53:05.196,157135,0,0,0,0
11:53:05.219,157213,0,0,0,0
11:53:05.263,157044,0,0,0,0
11:53:05.285,157166,0,0,0,0
11:53:05.309,157143,0,0,0,0
11:53:05.332,157139,0,0,0,0
11:53:05.376,157072,0,0,0,0
11:53:05.398,156952,0,0,0,0
11:53:05.421,156861,0,0,0,0
11:53:05.442,156847,0,0,0,0
11:53:05.487,156865,0,0,0,0
11:53:05.510,156838,0,0,0,0
11:53:05.534,156817,0,0,0,0
11:53:05.555,156816,0,0,0,0
11:53:05.601,156827,0,0,0,0
11:53:05.625,156817,0,0,0,0
11:53:05.646,156837,0,0,0,0
11:53:05.669,156863,0,0,0,0
11:53:05.712,156848,0,0,0,0
11:53:05.733,156871,0,0,0,0
11:53:05.756,156900,0,0,0,0
11:53:05.779,156912,0,0,0,0
11:53:05.822,156927,0,0,0,0
11:53:05.844,156984,0,0,0,0
11:53:05.867,157057,0,0,0,0
11:53:05.888,156967,0,0,0,0
11:53:05.931,157025,0,0,0,0
11:53:05.954,157035,0,0,0,0
11:53:05.975,157037,0,0,0,0
11:53:05.998,157056,0,0,0,0
11:53:06.044,157089,0,0,0,0
11:53:06.069,157115,0,0,0,0
11:53:06.090,157158,0,0,0,0
11:53:06.113,157162,0,0,0,0
11:53:06.157,157169,0,0,0,0
11:53:06.179,157174,0,0,0,0
11:53:06.202,157166,0,0,0,0
11:53:06.223,157069,0,0,0,0
11:53:06.294,156852,0,0,0,0
11:53:06.322,156823,0,0,0,0
11:53:06.352,156885,0,0,0,0
11:53:06.396,156831,0,0,0,0
11:53:06.417,156806,0,0,0,0
11:53:06.440,156756,0,0,0,0
11:53:06.462,156830,0,0,0,0
11:53:06.507,156859,0,0,0,0
11:53:06.531,156869,0,0,0,0
11:53:06.554,156882,0,0,0,0
11:53:06.576,156910,0,0,0,0
11:53:06.620,156926,0,0,0,0
11:53:06.644,156950,0,0,0,0
11:53:06.666,157005,0,0,0,0
11:53:06.689,156999,0,0,0,0
11:53:06.732,157013,0,0,0,0
11:53:06.756,156999,0,0,0,0
11:53:06.777,157020,0,0,0,0
11:53:06.800,157065,0,0,0,0
11:53:06.843,157055,0,0,0,0
11:53:06.865,157062,0,0,0,0
11:53:06.889,156863,0,0,0,0
11:53:06.911,156820,0,0,0,0
11:53:06.953,156830,0,0,0,0
11:53:06.977,156712,0,0,0,0
11:53:07.000,156716,0,0,0,0
11:53:07.021,156626,0,0,0,0
11:53:07.064,156602,0,0,0,0
11:53:07.088,156629,0,0,0,0
11:53:07.109,156661,0,0,0,0
11:53:07.131,156671,0,0,0,0
11:53:07.174,156660,0,0,0,0
11:53:07.196,156687,0,0,0,0
11:53:07.219,156661,0,0,0,0
11:53:07.242,156809,0,0,0,0
11:53:07.285,156814,0,0,0,0
11:53:07.306,156826,0,0,0,0
11:53:07.329,156908,0,0,0,0
11:53:07.350,156907,0,0,0,0
11:53:07.393,156948,0,0,0,0
11:53:07.417,156918,0,0,0,0
11:53:07.438,156945,0,0,0,0
11:53:07.461,156997,0,0,0,0
11:53:07.506,156917,0,0,0,0
11:53:07.529,157006,0,0,0,0
11:53:07.550,156943,0,0,0,0
11:53:07.573,157053,0,0,0,0
11:53:07.618,157047,0,0,0,0
11:53:07.641,157070,0,0,0,0
11:53:07.664,157101,0,0,0,0
11:53:07.693,157120,0,0,0,0
11:53:07.737,157141,0,0,0,0
11:53:07.760,157175,0,0,0,0
11:53:07.784,157179,0,0,0,0
11:53:07.805,157200,0,0,0,0
11:53:07.873,157190,0,0,0,0
11:53:07.905,156922,0,0,0,0
11:53:07.927,156891,0,0,0,0
11:53:07.980,156798,0,0,0,0
11:53:08.002,156731,0,0,0,0
11:53:08.027,156668,0,0,0,0
11:53:08.049,156602,0,0,0,0
11:53:08.094,156532,0,0,0,0
11:53:08.118,156678,0,0,0,0
11:53:08.140,156659,0,0,0,0
11:53:08.163,156582,0,0,0,0
11:53:08.208,156602,0,0,0,0
11:53:08.232,156672,0,0,0,0
11:53:08.256,156670,0,0,0,0
11:53:08.279,156692,0,0,0,0
11:53:08.323,156696,0,0,0,0
11:53:08.345,156720,0,0,0,0
11:53:08.368,156739,0,0,0,0
11:53:08.389,156748,0,0,0,0
11:53:08.435,156771,0,0,0,0
11:53:08.456,156788,0,0,0,0
11:53:08.479,156832,0,0,0,0
11:53:08.501,156831,0,0,0,0
11:53:08.544,156820,0,0,0,0
11:53:08.568,156847,0,0,0,0
11:53:08.590,156858,0,0,0,0
11:53:08.614,156893,0,0,0,0
11:53:08.657,156895,0,0,0,0
11:53:08.680,156893,0,0,0,0
11:53:08.701,156935,0,0,0,0
11:53:08.724,156953,0,0,0,0
11:53:08.767,156967,0,0,0,0
11:53:08.789,156971,0,0,0,0
