time,ir,red,spo2,hr,temp

11:54:55.252,172913,0,0,0,0
11:54:55.282,172694,0,0,0,0
11:54:55.379,173351,0,0,0,0
11:54:55.417,173980,0,0,0,0
11:54:55.448,174487,0,0,0,0
11:54:55.503,174838,0,0,0,0
11:54:55.532,175075,0,0,0,0
11:54:55.559,175662,0,0,0,0
11:54:55.607,176071,0,0,0,0
11:54:55.638,175467,0,0,0,0
11:54:55.664,174601,0,0,0,0
11:54:55.713,173338,0,0,0,0
11:54:55.741,171533,0,0,0,0
11:54:55.767,170655,0,0,0,0
11:54:55.815,170603,0,0,0,0
11:54:56.136,170776,0,0,0,0
11:54:56.162,171002,0,0,0,0
11:54:56.251,171069,0,0,0,0
11:54:56.282,171021,0,0,0,0
11:54:56.308,170995,0,0,0,0
11:54:56.462,171023,0,0,0,0
11:54:56.487,171140,0,0,0,0
11:54:56.513,171498,0,0,0,0
11:54:56.562,171586,0,0,0,0
11:54:56.699,171443,0,0,0,0
11:54:56.843,171386,0,0,0,0
11:54:56.870,171401,0,0,0,0
11:54:56.992,171322,0,0,0,0
11:54:57.172,171163,0,0,0,0
11:54:57.197,171073,0,0,0,0
11:54:57.318,170972,0,0,0,0
11:54:57.339,170934,0,0,0,0
11:54:57.363,170900,0,0,0,0
11:54:57.406,170910,0,0,0,0
11:54:57.428,170922,0,0,0,0
11:54:57.452,170927,0,0,0,0
11:54:57.473,170963,0,0,0,0
11:54:57.517,170819,0,0,0,0
11:54:57.541,170496,0,0,0,0
11:54:57.564,170118,0,0,0,0
11:54:57.586,170083,0,0,0,0
11:54:57.629,170070,0,0,0,0
11:54:57.653,170131,0,0,0,0
11:54:57.673,170269,0,0,0,0
11:54:57.697,170291,0,0,0,0
11:54:57.740,170270,0,0,0,0
11:54:57.762,170155,0,0,0,0
11:54:57.785,169953,0,0,0,0
11:54:57.809,169849,0,0,0,0
11:54:57.853,169817,0,0,0,0
11:54:57.875,169597,0,0,0,0
11:54:57.899,169219,0,0,0,0
11:54:57.921,169188,0,0,0,0
11:54:57.965,169047,0,0,0,0
11:54:57.988,169300,0,0,0,0
11:54:58.009,169171,0,0,0,0
11:54:58.032,169157,0,0,0,0
11:54:58.076,169089,0,0,0,0
11:54:58.099,169109,0,0,0,0
11:54:58.120,169043,0,0,0,0
11:54:58.144,168988,0,0,0,0
11:54:58.188,168795,0,0,0,0
11:54:58.209,168984,0,0,0,0
11:54:58.232,169024,0,0,0,0
11:54:58.253,169001,0,0,0,0
11:54:58.298,168867,0,0,0,0
11:54:58.319,168467,0,0,0,0
11:54:58.342,168193,0,0,0,0
11:54:58.364,168173,0,0,0,0
11:54:58.436,168136,0,0,0,0
11:54:58.475,168130,0,0,0,0
11:54:58.496,168125,0,0,0,0
11:54:58.542,168113,0,0,0,0
11:54:58.566,168098,0,0,0,0
11:54:58.591,168023,0,0,0,0
11:54:58.613,167990,0,0,0,0
11:54:58.658,168010,0,0,0,0
