time,ir,red,spo2,hr,temp

13:01:21.708,175820,0,0,0,0
13:01:21.750,175841,0,0,0,0
13:01:21.825,175882,0,0,0,0
13:01:21.861,175862,0,0,0,0
13:01:21.929,175843,0,0,0,0
13:01:21.963,175820,0,0,0,0
13:01:22.066,175834,0,0,0,0
13:01:22.101,175884,0,0,0,0
13:01:22.273,175931,0,0,0,0
13:01:22.306,175929,0,0,0,0
13:01:22.368,175929,0,0,0,0
13:01:22.515,175901,0,0,0,0
13:01:22.548,175861,0,0,0,0
13:01:22.610,175849,0,0,0,0
13:01:22.669,175851,0,0,0,0
13:01:22.748,175881,0,0,0,0
13:01:22.780,175892,0,0,0,0
13:01:22.810,175895,0,0,0,0
13:01:22.871,175887,0,0,0,0
13:01:22.991,175880,0,0,0,0
13:01:23.021,175863,0,0,0,0
13:01:23.053,175826,0,0,0,0
13:01:23.115,175850,0,0,0,0
13:01:23.148,175860,0,0,0,0
13:01:23.177,175891,0,0,0,0
13:01:23.272,175960,0,0,0,0
13:01:23.304,175909,0,0,0,0
13:01:23.334,175754,0,0,0,0
13:01:23.394,175590,0,0,0,0
13:01:23.456,175659,0,0,0,0
13:01:23.522,175649,0,0,0,0
13:01:23.555,175675,0,0,0,0
13:01:23.619,175686,0,0,0,0
13:01:23.653,175690,0,0,0,0
13:01:23.684,175725,0,0,0,0
13:01:23.749,175754,0,0,0,0
13:01:23.777,175752,0,0,0,0
13:01:23.810,175732,0,0,0,0
13:01:23.868,175713,0,0,0,0
13:01:23.896,175706,0,0,0,0
13:01:23.926,175686,0,0,0,0
13:01:23.983,175702,0,0,0,0
13:01:24.011,175683,0,0,0,0
13:01:24.041,175673,0,0,0,0
13:01:24.097,175705,0,0,0,0
13:01:24.127,175658,0,0,0,0
13:01:24.155,175527,0,0,0,0
13:01:24.213,175589,0,0,0,0
13:01:24.244,175605,0,0,0,0
13:01:24.271,175584,0,0,0,0
13:01:24.329,175568,0,0,0,0
13:01:24.367,175448,0,0,0,0
13:01:24.433,175546,0,0,0,0
13:01:24.464,175637,0,0,0,0
13:01:24.491,175385,0,0,0,0
13:01:24.547,175380,0,0,0,0
13:01:24.576,175394,0,0,0,0
13:01:24.604,175425,0,0,0,0
13:01:24.659,175632,0,0,0,0
13:01:24.688,175624,0,0,0,0
13:01:24.718,175621,0,0,0,0
13:01:24.775,175579,0,0,0,0
13:01:24.803,175642,0,0,0,0
13:01:24.832,175656,0,0,0,0
13:01:24.887,175773,0,0,0,0
13:01:24.915,175730,0,0,0,0
13:01:24.944,175746,0,0,0,0
13:01:24.999,175746,0,0,0,0
13:01:25.030,175728,0,0,0,0
13:01:25.057,175673,0,0,0,0
13:01:25.113,175525,0,0,0,0
13:01:25.143,175474,0,0,0,0
13:01:25.171,175541,0,0,0,0
13:01:25.225,175563,0,0,0,0
13:01:25.255,175611,0,0,0,0
13:01:25.282,175615,0,0,0,0
13:01:25.340,175570,0,0,0,0
13:01:25.367,175578,0,0,0,0
13:01:25.397,175515,0,0,0,0
13:01:25.452,175645,0,0,0,0
13:01:25.480,175669,0,0,0,0
13:01:25.509,175645,0,0,0,0
13:01:25.565,175707,0,0,0,0
13:01:25.595,175660,0,0,0,0
13:01:25.622,175684,0,0,0,0
13:01:25.678,175671,0,0,0,0
13:01:25.708,175507,0,0,0,0
13:01:25.735,175465,0,0,0,0
13:01:25.791,175374,0,0,0,0
13:01:25.821,175410,0,0,0,0
13:01:25.848,175585,0,0,0,0
13:01:25.906,175498,0,0,0,0
13:01:25.934,175526,0,0,0,0
13:01:25.964,175623,0,0,0,0
13:01:26.019,175503,0,0,0,0
13:01:26.047,175584,0,0,0,0
13:01:26.076,175602,0,0,0,0
13:01:26.131,175612,0,0,0,0
13:01:26.158,175482,0,0,0,0
13:01:26.187,175593,0,0,0,0
13:01:26.243,175634,0,0,0,0
13:01:26.273,175646,0,0,0,0
13:01:26.300,175666,0,0,0,0
13:01:26.355,175659,0,0,0,0
13:01:26.385,175688,0,0,0,0
13:01:26.412,175696,0,0,0,0
13:01:26.467,175758,0,0,0,0
13:01:26.497,175759,0,0,0,0
13:01:26.526,175763,0,0,0,0
13:01:26.583,175707,0,0,0,0
13:01:26.610,175576,0,0,0,0
13:01:26.640,175441,0,0,0,0
13:01:26.695,175478,0,0,0,0
13:01:26.723,175561,0,0,0,0
13:01:26.752,175411,0,0,0,0
13:01:26.807,175539,0,0,0,0
13:01:26.839,175549,0,0,0,0
13:01:26.870,175539,0,0,0,0
13:01:26.936,175540,0,0,0,0
13:01:26.973,175538,0,0,0,0
13:01:27.001,175541,0,0,0,0
13:01:27.057,175548,0,0,0,0
13:01:27.087,175546,0,0,0,0
13:01:27.115,175568,0,0,0,0
13:01:27.172,175571,0,0,0,0
13:01:27.200,175607,0,0,0,0
13:01:27.230,175593,0,0,0,0
13:01:27.285,175620,0,0,0,0
13:01:27.312,175627,0,0,0,0
13:01:27.343,175657,0,0,0,0
