time,ir,red,spo2,hr,temp

13:08:06.380,138313,0,0,0,0
13:08:06.503,138322,0,0,0,0
13:08:06.532,138339,0,0,0,0
13:08:06.566,138375,0,0,0,0
13:08:06.627,138380,0,0,0,0
13:08:06.655,138391,0,0,0,0
13:08:06.685,138416,0,0,0,0
13:08:06.741,138420,0,0,0,0
13:08:06.775,138443,0,0,0,0
13:08:06.802,138459,0,0,0,0
13:08:06.851,138463,0,0,0,0
13:08:06.878,138493,0,0,0,0
13:08:06.910,138556,0,0,0,0
13:08:06.959,138464,0,0,0,0
13:08:06.984,138355,0,0,0,0
13:08:07.009,138331,0,0,0,0
13:08:07.057,138444,0,0,0,0
13:08:07.084,138317,0,0,0,0
13:08:07.108,138379,0,0,0,0
13:08:07.134,138384,0,0,0,0
13:08:07.182,138358,0,0,0,0
13:08:07.208,138349,0,0,0,0
13:08:07.234,138338,0,0,0,0
13:08:07.258,138337,0,0,0,0
13:08:07.306,138356,0,0,0,0
13:08:07.332,138344,0,0,0,0
13:08:07.358,138355,0,0,0,0
13:08:07.383,138368,0,0,0,0
13:08:07.432,138385,0,0,0,0
13:08:07.460,138371,0,0,0,0
13:08:07.485,138398,0,0,0,0
13:08:07.533,138431,0,0,0,0
13:08:07.557,138446,0,0,0,0
13:08:07.582,138438,0,0,0,0
13:08:07.608,138459,0,0,0,0
13:08:07.655,138456,0,0,0,0
13:08:07.679,138465,0,0,0,0
13:08:07.705,138476,0,0,0,0
13:08:07.753,138496,0,0,0,0
13:08:07.779,138495,0,0,0,0
13:08:07.802,138515,0,0,0,0
13:08:07.827,138504,0,0,0,0
13:08:07.876,138526,0,0,0,0
13:08:07.902,138593,0,0,0,0
13:08:07.925,138607,0,0,0,0
13:08:07.979,138552,0,0,0,0
13:08:08.002,138479,0,0,0,0
13:08:08.027,138478,0,0,0,0
13:08:08.050,138512,0,0,0,0
13:08:08.100,138502,0,0,0,0
13:08:08.125,138489,0,0,0,0
13:08:08.150,138466,0,0,0,0
13:08:08.173,138472,0,0,0,0
13:08:08.224,138442,0,0,0,0
13:08:08.249,138427,0,0,0,0
13:08:08.275,138448,0,0,0,0
13:08:08.298,138448,0,0,0,0
13:08:08.348,138476,0,0,0,0
13:08:08.372,138492,0,0,0,0
13:08:08.397,138570,0,0,0,0
13:08:08.421,138567,0,0,0,0
13:08:08.471,138726,0,0,0,0
13:08:08.495,138667,0,0,0,0
13:08:08.520,138696,0,0,0,0
13:08:08.544,138704,0,0,0,0
13:08:08.595,138738,0,0,0,0
13:08:08.619,138760,0,0,0,0
13:08:08.644,138757,0,0,0,0
13:08:08.692,138843,0,0,0,0
13:08:08.730,138799,0,0,0,0
13:08:08.822,138705,0,0,0,0
13:08:08.848,138773,0,0,0,0
13:08:08.916,138797,0,0,0,0
13:08:08.940,138871,0,0,0,0
13:08:08.962,138892,0,0,0,0
13:08:08.986,138914,0,0,0,0
13:08:09.029,138890,0,0,0,0
13:08:09.053,138894,0,0,0,0
13:08:09.074,138886,0,0,0,0
13:08:09.097,138893,0,0,0,0
13:08:09.147,138889,0,0,0,0
13:08:09.171,138839,0,0,0,0
13:08:09.196,138842,0,0,0,0
13:08:09.244,138810,0,0,0,0
13:08:09.268,138861,0,0,0,0
13:08:09.300,138875,0,0,0,0
13:08:09.353,138885,0,0,0,0
13:08:09.378,138900,0,0,0,0
13:08:09.399,138902,0,0,0,0
13:08:09.422,138912,0,0,0,0
13:08:09.472,138973,0,0,0,0
13:08:09.495,138938,0,0,0,0
13:08:09.520,138875,0,0,0,0
13:08:09.542,138938,0,0,0,0
13:08:09.588,138942,0,0,0,0
13:08:09.610,138935,0,0,0,0
13:08:09.636,138987,0,0,0,0
13:08:09.659,138944,0,0,0,0
13:08:09.705,138939,0,0,0,0
13:08:09.729,138932,0,0,0,0
13:08:09.750,138932,0,0,0,0
13:08:09.775,138916,0,0,0,0
13:08:09.818,138950,0,0,0,0
13:08:09.842,138949,0,0,0,0
13:08:09.863,138941,0,0,0,0
13:08:09.887,138941,0,0,0,0
13:08:09.931,138915,0,0,0,0
13:08:09.954,138918,0,0,0,0
13:08:09.977,138900,0,0,0,0
13:08:09.999,138901,0,0,0,0
13:08:10.045,138929,0,0,0,0
13:08:10.067,138926,0,0,0,0
13:08:10.090,138890,0,0,0,0
13:08:10.113,138869,0,0,0,0
13:08:10.157,138751,0,0,0,0
13:08:10.180,138902,0,0,0,0
13:08:10.201,138872,0,0,0,0
13:08:10.223,138790,0,0,0,0
13:08:10.267,138887,0,0,0,0
13:08:10.291,138885,0,0,0,0
13:08:10.313,138875,0,0,0,0
13:08:10.336,138893,0,0,0,0
13:08:10.378,138909,0,0,0,0
13:08:10.401,138898,0,0,0,0
13:08:10.425,138899,0,0,0,0
13:08:10.447,138908,0,0,0,0
13:08:10.492,138918,0,0,0,0
13:08:10.514,138918,0,0,0,0
13:08:10.537,138924,0,0,0,0
13:08:10.558,138924,0,0,0,0
13:08:10.601,138945,0,0,0,0
13:08:10.624,138901,0,0,0,0
13:08:10.645,138925,0,0,0,0
13:08:10.668,138790,0,0,0,0
13:08:10.711,138874,0,0,0,0
13:08:10.734,138882,0,0,0,0
13:08:10.755,138884,0,0,0,0
13:08:10.783,138873,0,0,0,0
13:08:10.844,138858,0,0,0,0
13:08:10.866,138878,0,0,0,0
13:08:10.895,138876,0,0,0,0
13:08:10.938,138883,0,0,0,0
13:08:10.962,138863,0,0,0,0
13:08:10.982,138877,0,0,0,0
13:08:11.006,138869,0,0,0,0
13:08:11.050,138868,0,0,0,0
13:08:11.071,138855,0,0,0,0
13:08:11.094,138824,0,0,0,0
