time,ir,red,spo2,hr,temp

13:16:36.597,91420,0,0,0,0
13:16:36.726,91436,0,0,0,0
13:16:36.752,91424,0,0,0,0
13:16:36.783,91434,0,0,0,0
13:16:36.846,91447,0,0,0,0
13:16:36.876,91417,0,0,0,0
13:16:36.908,91304,0,0,0,0
13:16:36.961,91224,0,0,0,0
13:16:36.988,91219,0,0,0,0
13:16:37.019,91240,0,0,0,0
13:16:37.069,91258,0,0,0,0
13:16:37.096,91202,0,0,0,0
13:16:37.125,91289,0,0,0,0
13:16:37.174,91187,0,0,0,0
13:16:37.203,91235,0,0,0,0
13:16:37.226,91258,0,0,0,0
13:16:37.275,91239,0,0,0,0
13:16:37.303,91228,0,0,0,0
13:16:37.328,91233,0,0,0,0
13:16:37.379,91233,0,0,0,0
13:16:37.403,91243,0,0,0,0
13:16:37.428,91234,0,0,0,0
13:16:37.476,91215,0,0,0,0
13:16:37.503,91188,0,0,0,0
13:16:37.526,91201,0,0,0,0
13:16:37.551,91186,0,0,0,0
13:16:37.599,91196,0,0,0,0
13:16:37.626,91209,0,0,0,0
13:16:37.650,91247,0,0,0,0
13:16:37.676,91220,0,0,0,0
13:16:37.724,91234,0,0,0,0
13:16:37.750,91246,0,0,0,0
13:16:37.774,91254,0,0,0,0
13:16:37.800,91247,0,0,0,0
13:16:37.852,91263,0,0,0,0
13:16:37.877,91269,0,0,0,0
13:16:37.901,91276,0,0,0,0
13:16:37.926,91288,0,0,0,0
13:16:37.974,91290,0,0,0,0
13:16:38.000,91293,0,0,0,0
13:16:38.023,91354,0,0,0,0
13:16:38.048,91318,0,0,0,0
13:16:38.096,91392,0,0,0,0
13:16:38.121,91459,0,0,0,0
13:16:38.144,91479,0,0,0,0
13:16:38.169,91373,0,0,0,0
13:16:38.216,91263,0,0,0,0
13:16:38.243,91304,0,0,0,0
13:16:38.267,91252,0,0,0,0
13:16:38.292,91232,0,0,0,0
13:16:38.340,91184,0,0,0,0
13:16:38.366,91174,0,0,0,0
13:16:38.390,91188,0,0,0,0
13:16:38.415,91177,0,0,0,0
13:16:38.463,91182,0,0,0,0
13:16:38.489,91194,0,0,0,0
13:16:38.514,91170,0,0,0,0
13:16:38.537,91160,0,0,0,0
13:16:38.585,91183,0,0,0,0
13:16:38.610,91158,0,0,0,0
13:16:38.636,91172,0,0,0,0
13:16:38.660,91288,0,0,0,0
13:16:38.731,91266,0,0,0,0
13:16:38.760,91206,0,0,0,0
13:16:38.793,91285,0,0,0,0
13:16:38.844,91232,0,0,0,0
13:16:38.873,91210,0,0,0,0
13:16:38.900,91184,0,0,0,0
13:16:38.953,91235,0,0,0,0
13:16:38.991,91239,0,0,0,0
13:16:39.068,91228,0,0,0,0
13:16:39.090,91278,0,0,0,0
13:16:39.114,91286,0,0,0,0
13:16:39.157,91296,0,0,0,0
13:16:39.180,91312,0,0,0,0
13:16:39.201,91353,0,0,0,0
13:16:39.224,91348,0,0,0,0
13:16:39.268,91397,0,0,0,0
13:16:39.289,91376,0,0,0,0
13:16:39.312,91351,0,0,0,0
13:16:39.334,91362,0,0,0,0
13:16:39.381,91459,0,0,0,0
13:16:39.403,91403,0,0,0,0
13:16:39.426,91443,0,0,0,0
13:16:39.447,91532,0,0,0,0
13:16:39.491,91456,0,0,0,0
13:16:39.515,91483,0,0,0,0
13:16:39.536,91478,0,0,0,0
13:16:39.561,91495,0,0,0,0
13:16:39.604,91524,0,0,0,0
13:16:39.628,91557,0,0,0,0
13:16:39.651,91568,0,0,0,0
13:16:39.674,91584,0,0,0,0
13:16:39.719,91622,0,0,0,0
13:16:39.740,91691,0,0,0,0
13:16:39.763,91652,0,0,0,0
13:16:39.785,91675,0,0,0,0
13:16:39.830,91699,0,0,0,0
13:16:39.853,91695,0,0,0,0
13:16:39.877,91652,0,0,0,0
13:16:39.900,91485,0,0,0,0
13:16:39.943,91501,0,0,0,0
13:16:39.966,91427,0,0,0,0
13:16:39.988,91513,0,0,0,0
13:16:40.011,91575,0,0,0,0
13:16:40.055,91647,0,0,0,0
13:16:40.078,91634,0,0,0,0
13:16:40.098,91578,0,0,0,0
13:16:40.121,91664,0,0,0,0
13:16:40.164,91683,0,0,0,0
13:16:40.185,91720,0,0,0,0
13:16:40.208,91722,0,0,0,0
13:16:40.229,91690,0,0,0,0
13:16:40.272,91708,0,0,0,0
13:16:40.295,91720,0,0,0,0
13:16:40.319,91732,0,0,0,0
13:16:40.340,91873,0,0,0,0
13:16:40.383,91770,0,0,0,0
13:16:40.406,91818,0,0,0,0
13:16:40.428,91809,0,0,0,0
13:16:40.451,91810,0,0,0,0
13:16:40.494,91793,0,0,0,0
13:16:40.518,91769,0,0,0,0
13:16:40.538,91771,0,0,0,0
13:16:40.562,91807,0,0,0,0
13:16:40.605,91837,0,0,0,0
13:16:40.627,91867,0,0,0,0
13:16:40.652,91920,0,0,0,0
13:16:40.673,91973,0,0,0,0
13:16:40.716,91973,0,0,0,0
13:16:40.739,91984,0,0,0,0
13:16:40.763,92002,0,0,0,0
13:16:40.784,92004,0,0,0,0
13:16:40.827,92041,0,0,0,0
13:16:40.851,92040,0,0,0,0
13:16:40.873,91873,0,0,0,0
13:16:40.895,91798,0,0,0,0
13:16:40.939,91825,0,0,0,0
13:16:40.964,91724,0,0,0,0
13:16:41.003,91742,0,0,0,0
13:16:41.072,91753,0,0,0,0
13:16:41.102,91790,0,0,0,0
13:16:41.123,91805,0,0,0,0
13:16:41.167,91843,0,0,0,0
13:16:41.191,91863,0,0,0,0
