time,ir,red,spo2,hr,temp

13:20:10.874,85171,0,0,0,0
13:20:10.908,85096,0,0,0,0
13:20:10.968,85062,0,0,0,0
13:20:10.996,85044,0,0,0,0
13:20:11.024,85013,0,0,0,0
13:20:11.078,84988,0,0,0,0
13:20:11.104,84938,0,0,0,0
13:20:11.134,84853,0,0,0,0
13:20:11.188,84773,0,0,0,0
13:20:11.214,84713,0,0,0,0
13:20:11.246,84681,0,0,0,0
13:20:11.294,84695,0,0,0,0
13:20:11.318,84598,0,0,0,0
13:20:11.343,84527,0,0,0,0
13:20:11.392,84538,0,0,0,0
13:20:11.418,84488,0,0,0,0
13:20:11.442,84506,0,0,0,0
13:20:11.494,84484,0,0,0,0
13:20:11.518,84512,0,0,0,0
13:20:11.544,84513,0,0,0,0
13:20:11.594,84473,0,0,0,0
13:20:11.620,84492,0,0,0,0
13:20:11.644,84486,0,0,0,0
13:20:11.694,84500,0,0,0,0
13:20:11.720,84494,0,0,0,0
13:20:11.746,84474,0,0,0,0
13:20:11.796,84491,0,0,0,0
13:20:11.819,84519,0,0,0,0
13:20:11.845,84514,0,0,0,0
13:20:11.893,84517,0,0,0,0
13:20:11.919,84505,0,0,0,0
13:20:11.943,84535,0,0,0,0
13:20:11.968,84517,0,0,0,0
13:20:12.017,84475,0,0,0,0
13:20:12.043,84402,0,0,0,0
13:20:12.066,84370,0,0,0,0
13:20:12.092,84354,0,0,0,0
13:20:12.141,84330,0,0,0,0
13:20:12.168,84335,0,0,0,0
13:20:12.191,84290,0,0,0,0
13:20:12.217,84266,0,0,0,0
13:20:12.265,84298,0,0,0,0
13:20:12.291,84323,0,0,0,0
13:20:12.314,84406,0,0,0,0
13:20:12.339,84352,0,0,0,0
13:20:12.387,84150,0,0,0,0
13:20:12.413,84282,0,0,0,0
13:20:12.436,84155,0,0,0,0
13:20:12.461,84241,0,0,0,0
13:20:12.509,84245,0,0,0,0
13:20:12.535,84245,0,0,0,0
13:20:12.558,84282,0,0,0,0
13:20:12.583,84316,0,0,0,0
13:20:12.632,84259,0,0,0,0
13:20:12.658,84287,0,0,0,0
13:20:12.682,84277,0,0,0,0
13:20:12.708,84291,0,0,0,0
13:20:12.757,84303,0,0,0,0
13:20:12.784,84328,0,0,0,0
13:20:12.809,84337,0,0,0,0
13:20:12.861,84348,0,0,0,0
13:20:12.884,84362,0,0,0,0
13:20:12.909,84391,0,0,0,0
13:20:12.979,84386,0,0,0,0
13:20:13.000,84449,0,0,0,0
13:20:13.024,84419,0,0,0,0
13:20:13.047,84461,0,0,0,0
13:20:13.102,84409,0,0,0,0
13:20:13.131,84442,0,0,0,0
13:20:13.156,84425,0,0,0,0
13:20:13.239,84320,0,0,0,0
13:20:13.267,84448,0,0,0,0
13:20:13.294,84461,0,0,0,0
13:20:13.340,84454,0,0,0,0
13:20:13.366,84519,0,0,0,0
13:20:13.391,84506,0,0,0,0
13:20:13.415,84372,0,0,0,0
13:20:13.463,84347,0,0,0,0
13:20:13.486,84332,0,0,0,0
13:20:13.513,84303,0,0,0,0
