time,ir,red,spo2,hr,temp

13:22:15.147,82341,0,0,0,0
13:22:15.280,82286,0,0,0,0
13:22:15.308,82346,0,0,0,0
13:22:15.342,82357,0,0,0,0
13:22:15.412,82360,0,0,0,0
13:22:15.442,82384,0,0,0,0
13:22:15.476,82380,0,0,0,0
13:22:15.539,82420,0,0,0,0
13:22:15.572,82406,0,0,0,0
13:22:15.599,82443,0,0,0,0
13:22:15.653,82465,0,0,0,0
13:22:15.681,82474,0,0,0,0
13:22:15.711,82491,0,0,0,0
13:22:15.762,82430,0,0,0,0
13:22:15.789,82397,0,0,0,0
13:22:15.815,82350,0,0,0,0
13:22:15.866,82325,0,0,0,0
13:22:15.894,82334,0,0,0,0
13:22:15.922,82343,0,0,0,0
13:22:15.973,82322,0,0,0,0
13:22:15.998,82304,0,0,0,0
13:22:16.025,82307,0,0,0,0
13:22:16.075,82339,0,0,0,0
13:22:16.102,82335,0,0,0,0
13:22:16.128,82315,0,0,0,0
13:22:16.179,82336,0,0,0,0
13:22:16.204,82327,0,0,0,0
13:22:16.230,82398,0,0,0,0
13:22:16.279,82412,0,0,0,0
13:22:16.306,82398,0,0,0,0
13:22:16.330,82259,0,0,0,0
13:22:16.378,82248,0,0,0,0
13:22:16.404,82358,0,0,0,0
13:22:16.431,82341,0,0,0,0
13:22:16.455,82338,0,0,0,0
13:22:16.504,82351,0,0,0,0
13:22:16.531,82352,0,0,0,0
13:22:16.559,82357,0,0,0,0
13:22:16.610,82346,0,0,0,0
13:22:16.636,82377,0,0,0,0
13:22:16.665,82372,0,0,0,0
13:22:16.715,82390,0,0,0,0
13:22:16.742,82395,0,0,0,0
13:22:16.766,82414,0,0,0,0
13:22:16.817,82429,0,0,0,0
13:22:16.842,82424,0,0,0,0
13:22:16.868,82426,0,0,0,0
13:22:16.918,82469,0,0,0,0
13:22:16.944,82458,0,0,0,0
13:22:16.968,82370,0,0,0,0
13:22:17.018,82472,0,0,0,0
13:22:17.045,82491,0,0,0,0
13:22:17.072,82496,0,0,0,0
13:22:17.121,82529,0,0,0,0
13:22:17.146,82593,0,0,0,0
13:22:17.172,82590,0,0,0,0
13:22:17.222,82520,0,0,0,0
13:22:17.249,82541,0,0,0,0
13:22:17.274,82632,0,0,0,0
13:22:17.327,82720,0,0,0,0
13:22:17.352,82726,0,0,0,0
13:22:17.379,82673,0,0,0,0
13:22:17.429,82670,0,0,0,0
13:22:17.481,82482,0,0,0,0
13:22:17.527,82437,0,0,0,0
13:22:17.552,82411,0,0,0,0
13:22:17.575,82338,0,0,0,0
13:22:17.656,82332,0,0,0,0
13:22:17.684,82326,0,0,0,0
13:22:17.711,82295,0,0,0,0
13:22:17.763,82208,0,0,0,0
13:22:17.793,82290,0,0,0,0
13:22:17.822,82284,0,0,0,0
13:22:17.874,82303,0,0,0,0
13:22:17.896,82341,0,0,0,0
13:22:17.926,82390,0,0,0,0
13:22:17.973,82335,0,0,0,0
13:22:17.997,82405,0,0,0,0
13:22:18.020,82396,0,0,0,0
13:22:18.044,82413,0,0,0,0
13:22:18.092,82420,0,0,0,0
13:22:18.114,82381,0,0,0,0
13:22:18.137,82408,0,0,0,0
13:22:18.163,82417,0,0,0,0
13:22:18.210,82473,0,0,0,0
13:22:18.233,82470,0,0,0,0
13:22:18.257,82313,0,0,0,0
13:22:18.280,82299,0,0,0,0
13:22:18.326,82179,0,0,0,0
13:22:18.352,82271,0,0,0,0
13:22:18.376,82218,0,0,0,0
13:22:18.399,82200,0,0,0,0
13:22:18.444,82190,0,0,0,0
13:22:18.469,82169,0,0,0,0
13:22:18.491,82138,0,0,0,0
13:22:18.516,82206,0,0,0,0
13:22:18.561,82132,0,0,0,0
13:22:18.584,82168,0,0,0,0
13:22:18.608,82167,0,0,0,0
13:22:18.632,82164,0,0,0,0
13:22:18.677,82195,0,0,0,0
13:22:18.700,82244,0,0,0,0
13:22:18.723,82207,0,0,0,0
13:22:18.745,82213,0,0,0,0
13:22:18.789,82200,0,0,0,0
13:22:18.813,82207,0,0,0,0
13:22:18.835,82155,0,0,0,0
13:22:18.858,82134,0,0,0,0
13:22:18.902,82060,0,0,0,0
13:22:18.926,82060,0,0,0,0
13:22:18.948,81969,0,0,0,0
13:22:18.972,82065,0,0,0,0
13:22:19.016,82043,0,0,0,0
13:22:19.038,82112,0,0,0,0
13:22:19.061,82028,0,0,0,0
13:22:19.083,82043,0,0,0,0
13:22:19.130,82065,0,0,0,0
13:22:19.152,82059,0,0,0,0
13:22:19.176,81973,0,0,0,0
13:22:19.197,82140,0,0,0,0
13:22:19.243,82154,0,0,0,0
13:22:19.267,82185,0,0,0,0
13:22:19.289,82201,0,0,0,0
13:22:19.312,82235,0,0,0,0
13:22:19.357,82314,0,0,0,0
13:22:19.381,82450,0,0,0,0
13:22:19.402,82372,0,0,0,0
13:22:19.426,82448,0,0,0,0
13:22:19.471,82387,0,0,0,0
13:22:19.493,82235,0,0,0,0
13:22:19.517,82226,0,0,0,0
13:22:19.539,82233,0,0,0,0
13:22:19.585,82239,0,0,0,0
13:22:19.608,82216,0,0,0,0
13:22:19.632,82202,0,0,0,0
13:22:19.655,82197,0,0,0,0
13:22:19.722,82205,0,0,0,0
13:22:19.763,82239,0,0,0,0
13:22:19.816,82163,0,0,0,0
13:22:19.839,82139,0,0,0,0
13:22:19.864,82131,0,0,0,0
13:22:19.910,82106,0,0,0,0
13:22:19.935,81646,0,0,0,0
13:22:19.957,80260,0,0,0,0
13:22:19.982,80017,0,0,0,0
13:22:20.028,79665,0,0,0,0
13:22:20.051,79465,0,0,0,0
13:22:20.076,79455,0,0,0,0
13:22:20.098,79470,0,0,0,0
13:22:20.146,79482,0,0,0,0
13:22:20.169,79504,0,0,0,0
13:22:20.193,79575,0,0,0,0
13:22:20.216,79580,0,0,0,0
13:22:20.261,79462,0,0,0,0
13:22:20.285,79419,0,0,0,0
