time,ir,red,spo2,hr,temp

13:27:46.404,110133,0,0,0,0
13:27:46.531,110133,0,0,0,0
13:27:46.559,110150,0,0,0,0
13:27:46.591,110132,0,0,0,0
13:27:46.649,110178,0,0,0,0
13:27:46.675,110172,0,0,0,0
13:27:46.704,110177,0,0,0,0
13:27:46.758,110188,0,0,0,0
13:27:46.788,110215,0,0,0,0
13:27:46.815,110250,0,0,0,0
13:27:46.865,110207,0,0,0,0
13:27:46.892,110086,0,0,0,0
13:27:46.918,110174,0,0,0,0
13:27:46.971,110198,0,0,0,0
13:27:46.994,110186,0,0,0,0
13:27:47.020,110092,0,0,0,0
13:27:47.069,110113,0,0,0,0
13:27:47.096,110152,0,0,0,0
13:27:47.121,110166,0,0,0,0
13:27:47.173,110178,0,0,0,0
13:27:47.198,110170,0,0,0,0
13:27:47.224,110145,0,0,0,0
13:27:47.273,110104,0,0,0,0
13:27:47.299,110098,0,0,0,0
13:27:47.323,110091,0,0,0,0
13:27:47.349,110112,0,0,0,0
13:27:47.398,110089,0,0,0,0
13:27:47.426,110087,0,0,0,0
13:27:47.449,110078,0,0,0,0
13:27:47.501,110068,0,0,0,0
13:27:47.524,110073,0,0,0,0
13:27:47.550,110055,0,0,0,0
13:27:47.574,110061,0,0,0,0
13:27:47.624,110067,0,0,0,0
13:27:47.647,110059,0,0,0,0
13:27:47.673,110064,0,0,0,0
13:27:47.697,110042,0,0,0,0
13:27:47.749,110027,0,0,0,0
13:27:47.773,110032,0,0,0,0
13:27:47.799,110004,0,0,0,0
13:27:47.848,110000,0,0,0,0
13:27:47.874,109999,0,0,0,0
13:27:47.897,110060,0,0,0,0
13:27:47.946,110048,0,0,0,0
13:27:47.972,109852,0,0,0,0
13:27:47.998,109953,0,0,0,0
13:27:48.021,109850,0,0,0,0
13:27:48.070,109921,0,0,0,0
13:27:48.096,109929,0,0,0,0
13:27:48.123,109977,0,0,0,0
13:27:48.172,110010,0,0,0,0
13:27:48.196,109982,0,0,0,0
13:27:48.222,109997,0,0,0,0
13:27:48.247,109990,0,0,0,0
13:27:48.295,109927,0,0,0,0
13:27:48.319,109999,0,0,0,0
13:27:48.344,109927,0,0,0,0
13:27:48.393,109927,0,0,0,0
13:27:48.420,109917,0,0,0,0
13:27:48.446,109907,0,0,0,0
13:27:48.470,109921,0,0,0,0
13:27:48.522,109956,0,0,0,0
13:27:48.548,109942,0,0,0,0
13:27:48.621,109924,0,0,0,0
13:27:48.649,109968,0,0,0,0
13:27:48.677,109919,0,0,0,0
13:27:48.741,109926,0,0,0,0
13:27:48.769,109951,0,0,0,0
13:27:48.829,109951,0,0,0,0
13:27:48.856,109860,0,0,0,0
13:27:48.881,109980,0,0,0,0
13:27:48.903,109981,0,0,0,0
13:27:48.953,109973,0,0,0,0
13:27:48.976,109991,0,0,0,0
13:27:48.997,109977,0,0,0,0
13:27:49.021,109988,0,0,0,0
13:27:49.065,109987,0,0,0,0
13:27:49.087,110000,0,0,0,0
13:27:49.111,110005,0,0,0,0
13:27:49.135,110021,0,0,0,0
13:27:49.180,110025,0,0,0,0
13:27:49.202,110025,0,0,0,0
13:27:49.227,110086,0,0,0,0
13:27:49.249,109957,0,0,0,0
13:27:49.295,109924,0,0,0,0
13:27:49.319,110010,0,0,0,0
13:27:49.344,110017,0,0,0,0
13:27:49.366,109932,0,0,0,0
13:27:49.410,109960,0,0,0,0
13:27:49.434,109963,0,0,0,0
13:27:49.456,110053,0,0,0,0
13:27:49.480,109991,0,0,0,0
13:27:49.528,109963,0,0,0,0
13:27:49.550,109935,0,0,0,0
13:27:49.574,109943,0,0,0,0
13:27:49.598,109944,0,0,0,0
13:27:49.643,109939,0,0,0,0
13:27:49.665,109933,0,0,0,0
13:27:49.690,109908,0,0,0,0
13:27:49.711,109946,0,0,0,0
13:27:49.756,109946,0,0,0,0
13:27:49.779,109954,0,0,0,0
13:27:49.801,109968,0,0,0,0
13:27:49.825,110053,0,0,0,0
13:27:49.870,109981,0,0,0,0
13:27:49.894,109967,0,0,0,0
13:27:49.916,109963,0,0,0,0
13:27:49.939,109980,0,0,0,0
13:27:49.983,110065,0,0,0,0
13:27:50.006,110013,0,0,0,0
13:27:50.030,110014,0,0,0,0
13:27:50.053,109928,0,0,0,0
13:27:50.097,110030,0,0,0,0
13:27:50.118,110041,0,0,0,0
13:27:50.144,110070,0,0,0,0
13:27:50.164,110083,0,0,0,0
13:27:50.208,110101,0,0,0,0
13:27:50.232,110108,0,0,0,0
13:27:50.253,110103,0,0,0,0
13:27:50.276,110119,0,0,0,0
13:27:50.319,110106,0,0,0,0
13:27:50.343,110065,0,0,0,0
13:27:50.364,110060,0,0,0,0
13:27:50.388,110091,0,0,0,0
13:27:50.431,110167,0,0,0,0
13:27:50.453,110092,0,0,0,0
13:27:50.476,110151,0,0,0,0
13:27:50.500,110148,0,0,0,0
13:27:50.543,110162,0,0,0,0
13:27:50.564,110153,0,0,0,0
13:27:50.587,110074,0,0,0,0
13:27:50.608,110101,0,0,0,0
13:27:50.651,110096,0,0,0,0
13:27:50.675,110160,0,0,0,0
13:27:50.696,110026,0,0,0,0
13:27:50.719,110020,0,0,0,0
13:27:50.767,110036,0,0,0,0
13:27:50.798,110026,0,0,0,0
13:27:50.819,110013,0,0,0,0
13:27:50.869,110004,0,0,0,0
13:27:50.893,109970,0,0,0,0
13:27:50.914,109977,0,0,0,0
13:27:50.938,110013,0,0,0,0
13:27:50.983,109930,0,0,0,0
13:27:51.007,109906,0,0,0,0
13:27:51.029,109896,0,0,0,0
13:27:51.053,109876,0,0,0,0
13:27:51.097,109911,0,0,0,0
13:27:51.120,109970,0,0,0,0
13:27:51.144,109977,0,0,0,0
13:27:51.166,109861,0,0,0,0
13:27:51.210,110033,0,0,0,0
13:27:51.234,109972,0,0,0,0
13:27:51.258,109907,0,0,0,0
13:27:51.279,109903,0,0,0,0
13:27:51.323,109899,0,0,0,0
13:27:51.347,109917,0,0,0,0
13:27:51.369,109916,0,0,0,0
13:27:51.392,109911,0,0,0,0
13:27:51.437,109894,0,0,0,0
13:27:51.461,109901,0,0,0,0
13:27:51.485,109879,0,0,0,0
13:27:51.509,109870,0,0,0,0
13:27:51.559,109884,0,0,0,0
13:27:51.581,109881,0,0,0,0
13:27:51.605,109857,0,0,0,0
13:27:51.626,109865,0,0,0,0
13:27:51.671,109872,0,0,0,0
13:27:51.695,109830,0,0,0,0
13:27:51.718,109898,0,0,0,0
13:27:51.740,109971,0,0,0,0
13:27:51.784,109921,0,0,0,0
13:27:51.807,109918,0,0,0,0
13:27:51.829,109882,0,0,0,0
13:27:51.852,109898,0,0,0,0
13:27:51.896,109931,0,0,0,0
13:27:51.919,109943,0,0,0,0
13:27:51.943,109951,0,0,0,0
13:27:51.967,109972,0,0,0,0
13:27:52.012,109966,0,0,0,0
13:27:52.033,109987,0,0,0,0
13:27:52.057,109987,0,0,0,0
13:27:52.079,110065,0,0,0,0
13:27:52.124,109979,0,0,0,0
13:27:52.147,109920,0,0,0,0
13:27:52.170,109949,0,0,0,0
13:27:52.195,109937,0,0,0,0
13:27:52.239,109937,0,0,0,0
13:27:52.263,109849,0,0,0,0
13:27:52.285,109938,0,0,0,0
13:27:52.308,109941,0,0,0,0
13:27:52.364,109944,0,0,0,0
13:27:52.391,109884,0,0,0,0
13:27:52.423,109963,0,0,0,0
13:27:52.473,109801,0,0,0,0
13:27:52.498,109884,0,0,0,0
13:27:52.519,109871,0,0,0,0
13:27:52.543,109851,0,0,0,0
13:27:52.587,109853,0,0,0,0
13:27:52.609,109867,0,0,0,0
13:27:52.633,109882,0,0,0,0
13:27:52.654,109899,0,0,0,0
13:27:52.700,109896,0,0,0,0
13:27:52.721,109892,0,0,0,0
13:27:52.745,109899,0,0,0,0
13:27:52.766,109915,0,0,0,0
13:27:52.810,109908,0,0,0,0
13:27:52.834,109918,0,0,0,0
13:27:52.856,109915,0,0,0,0
13:27:52.880,109912,0,0,0,0
13:27:52.925,109914,0,0,0,0
13:27:52.949,109922,0,0,0,0
13:27:52.972,109948,0,0,0,0
13:27:52.996,109960,0,0,0,0
13:27:53.040,109979,0,0,0,0
13:27:53.062,109998,0,0,0,0
13:27:53.086,110010,0,0,0,0
13:27:53.107,110040,0,0,0,0
13:27:53.154,110024,0,0,0,0
13:27:53.176,110033,0,0,0,0
13:27:53.199,110029,0,0,0,0
13:27:53.220,110033,0,0,0,0
13:27:53.264,110083,0,0,0,0
13:27:53.288,110150,0,0,0,0
13:27:53.309,110274,0,0,0,0
13:27:53.333,110333,0,0,0,0
13:27:53.377,110289,0,0,0,0
13:27:53.401,110241,0,0,0,0
13:27:53.422,110202,0,0,0,0
13:27:53.445,110122,0,0,0,0
13:27:53.489,110052,0,0,0,0
13:27:53.510,110080,0,0,0,0
13:27:53.534,110115,0,0,0,0
13:27:53.555,110102,0,0,0,0
13:27:53.599,110068,0,0,0,0
13:27:53.622,110070,0,0,0,0
13:27:53.647,110097,0,0,0,0
13:27:53.735,110107,0,0,0,0
13:27:53.757,110093,0,0,0,0
13:27:53.780,110094,0,0,0,0
13:27:53.823,110053,0,0,0,0
13:27:53.844,110015,0,0,0,0
13:27:53.868,110002,0,0,0,0
13:27:53.889,110021,0,0,0,0
13:27:53.934,110019,0,0,0,0
13:27:53.956,109965,0,0,0,0
13:27:53.979,109958,0,0,0,0
13:27:54.000,109943,0,0,0,0
13:27:54.043,109941,0,0,0,0
13:27:54.067,109951,0,0,0,0
13:27:54.088,109929,0,0,0,0
13:27:54.111,109926,0,0,0,0
13:27:54.154,109911,0,0,0,0
13:27:54.179,109961,0,0,0,0
13:27:54.201,109986,0,0,0,0
13:27:54.224,109999,0,0,0,0
13:27:54.267,109918,0,0,0,0
13:27:54.289,109829,0,0,0,0
13:27:54.312,109879,0,0,0,0
13:27:54.333,109847,0,0,0,0
13:27:54.377,109820,0,0,0,0
13:27:54.400,109788,0,0,0,0
13:27:54.424,109735,0,0,0,0
13:27:54.445,109713,0,0,0,0
13:27:54.490,109704,0,0,0,0
13:27:54.514,109731,0,0,0,0
13:27:54.535,109782,0,0,0,0
13:27:54.561,109774,0,0,0,0
13:27:54.606,109778,0,0,0,0
13:27:54.631,109756,0,0,0,0
13:27:54.653,109744,0,0,0,0
13:27:54.676,109748,0,0,0,0
13:27:54.727,109715,0,0,0,0
13:27:54.769,109706,0,0,0,0
13:27:54.832,109685,0,0,0,0
13:27:54.863,109664,0,0,0,0
13:27:54.884,109678,0,0,0,0
13:27:54.908,109655,0,0,0,0
13:27:54.954,109663,0,0,0,0
13:27:54.978,109672,0,0,0,0
13:27:55.001,109659,0,0,0,0
13:27:55.025,109651,0,0,0,0
13:27:55.069,109662,0,0,0,0
13:27:55.092,109670,0,0,0,0
13:27:55.116,109734,0,0,0,0
13:27:55.138,109765,0,0,0,0
13:27:55.185,109713,0,0,0,0
13:27:55.208,109724,0,0,0,0
13:27:55.232,109652,0,0,0,0
13:27:55.254,109729,0,0,0,0
13:27:55.298,109725,0,0,0,0
13:27:55.322,109718,0,0,0,0
13:27:55.344,109719,0,0,0,0
13:27:55.368,109703,0,0,0,0
13:27:55.435,109719,0,0,0,0
13:27:55.457,109722,0,0,0,0
13:27:55.481,109726,0,0,0,0
13:27:55.502,109736,0,0,0,0
13:27:55.545,109734,0,0,0,0
13:27:55.569,109763,0,0,0,0
13:27:55.590,109756,0,0,0,0
13:27:55.614,109765,0,0,0,0
13:27:55.657,109771,0,0,0,0
13:27:55.681,109773,0,0,0,0
13:27:55.702,109782,0,0,0,0
13:27:55.725,109803,0,0,0,0
13:27:55.769,109820,0,0,0,0
13:27:55.790,109836,0,0,0,0
13:27:55.813,109832,0,0,0,0
13:27:55.834,109825,0,0,0,0
13:27:55.879,109828,0,0,0,0
13:27:55.900,109841,0,0,0,0
13:27:55.933,109797,0,0,0,0
13:27:56.018,109767,0,0,0,0
13:27:56.040,109801,0,0,0,0
13:27:56.063,109948,0,0,0,0
13:27:56.107,109953,0,0,0,0
13:27:56.131,109848,0,0,0,0
13:27:56.152,109761,0,0,0,0
13:27:56.175,109800,0,0,0,0
13:27:56.219,109884,0,0,0,0
13:27:56.241,109870,0,0,0,0
13:27:56.264,109890,0,0,0,0
13:27:56.284,109852,0,0,0,0
13:27:56.328,109800,0,0,0,0
13:27:56.351,109805,0,0,0,0
13:27:56.375,109827,0,0,0,0
13:27:56.396,109845,0,0,0,0
13:27:56.439,109837,0,0,0,0
13:27:56.462,109824,0,0,0,0
13:27:56.484,109803,0,0,0,0
13:27:56.507,109800,0,0,0,0
13:27:56.550,109780,0,0,0,0
13:27:56.572,109807,0,0,0,0
13:27:56.595,109819,0,0,0,0
13:27:56.618,109840,0,0,0,0
13:27:56.662,109810,0,0,0,0
13:27:56.684,109837,0,0,0,0
13:27:56.707,109818,0,0,0,0
13:27:56.729,109833,0,0,0,0
13:27:56.772,109824,0,0,0,0
13:27:56.796,109825,0,0,0,0
13:27:56.818,109812,0,0,0,0
13:27:56.841,109820,0,0,0,0
13:27:56.885,109809,0,0,0,0
13:27:56.917,109866,0,0,0,0
13:27:56.958,109915,0,0,0,0
13:27:57.023,109951,0,0,0,0
13:27:57.047,109846,0,0,0,0
13:27:57.069,109789,0,0,0,0
13:27:57.092,109823,0,0,0,0
13:27:57.135,109876,0,0,0,0
13:27:57.158,109902,0,0,0,0
13:27:57.179,109920,0,0,0,0
13:27:57.202,109949,0,0,0,0
13:27:57.245,109953,0,0,0,0
13:27:57.267,109950,0,0,0,0
13:27:57.290,109942,0,0,0,0
13:27:57.311,109943,0,0,0,0
13:27:57.357,109959,0,0,0,0
13:27:57.379,109968,0,0,0,0
13:27:57.402,109927,0,0,0,0
13:27:57.423,109882,0,0,0,0
13:27:57.467,109885,0,0,0,0
13:27:57.491,109910,0,0,0,0
13:27:57.513,109967,0,0,0,0
13:27:57.537,109942,0,0,0,0
13:27:57.587,109919,0,0,0,0
13:27:57.610,109935,0,0,0,0
13:27:57.632,109963,0,0,0,0
13:27:57.655,109968,0,0,0,0
13:27:57.699,109950,0,0,0,0
13:27:57.721,109922,0,0,0,0
13:27:57.744,109904,0,0,0,0
13:27:57.766,109873,0,0,0,0
13:27:57.810,109893,0,0,0,0
13:27:57.850,109904,0,0,0,0
13:27:57.921,109913,0,0,0,0
13:27:57.945,109865,0,0,0,0
13:27:57.966,109848,0,0,0,0
13:27:57.990,109744,0,0,0,0
13:27:58.034,109783,0,0,0,0
13:27:58.057,109776,0,0,0,0
13:27:58.080,109770,0,0,0,0
13:27:58.102,109764,0,0,0,0
13:27:58.148,109782,0,0,0,0
13:27:58.170,109758,0,0,0,0
13:27:58.194,109778,0,0,0,0
13:27:58.216,109744,0,0,0,0
13:27:58.260,109738,0,0,0,0
13:27:58.284,109713,0,0,0,0
13:27:58.306,109720,0,0,0,0
13:27:58.329,109729,0,0,0,0
13:27:58.374,109708,0,0,0,0
13:27:58.398,109687,0,0,0,0
13:27:58.419,109657,0,0,0,0
13:27:58.444,109686,0,0,0,0
13:27:58.488,109715,0,0,0,0
13:27:58.510,109743,0,0,0,0
13:27:58.533,109713,0,0,0,0
13:27:58.554,109730,0,0,0,0
13:27:58.600,109714,0,0,0,0
13:27:58.622,109732,0,0,0,0
13:27:58.647,109737,0,0,0,0
13:27:58.668,109723,0,0,0,0
13:27:58.729,109708,0,0,0,0
13:27:58.764,109685,0,0,0,0
13:27:58.788,109743,0,0,0,0
13:27:58.834,109751,0,0,0,0
13:27:58.858,109693,0,0,0,0
13:27:58.881,109654,0,0,0,0
13:27:58.903,109630,0,0,0,0
13:27:58.946,109662,0,0,0,0
13:27:58.970,109645,0,0,0,0
13:27:58.991,109657,0,0,0,0
13:27:59.014,109672,0,0,0,0
13:27:59.058,109669,0,0,0,0
13:27:59.079,109668,0,0,0,0
13:27:59.103,109681,0,0,0,0
13:27:59.126,109675,0,0,0,0
13:27:59.170,109689,0,0,0,0
13:27:59.191,109679,0,0,0,0
13:27:59.215,109689,0,0,0,0
13:27:59.236,109705,0,0,0,0
13:27:59.279,109675,0,0,0,0
13:27:59.302,109686,0,0,0,0
13:27:59.326,109681,0,0,0,0
13:27:59.347,109694,0,0,0,0
13:27:59.391,109688,0,0,0,0
13:27:59.414,109710,0,0,0,0
13:27:59.436,109718,0,0,0,0
13:27:59.459,109731,0,0,0,0
13:27:59.517,109742,0,0,0,0
13:27:59.560,109741,0,0,0,0
13:27:59.619,109748,0,0,0,0
13:27:59.640,109766,0,0,0,0
13:27:59.663,109761,0,0,0,0
13:27:59.684,109785,0,0,0,0
13:27:59.728,109857,0,0,0,0
13:27:59.751,109864,0,0,0,0
13:27:59.773,109820,0,0,0,0
13:27:59.796,109746,0,0,0,0
13:27:59.839,109792,0,0,0,0
13:27:59.863,109799,0,0,0,0
13:27:59.884,109795,0,0,0,0
13:27:59.908,109802,0,0,0,0
13:27:59.952,109798,0,0,0,0
13:27:59.973,109810,0,0,0,0
13:27:59.996,109808,0,0,0,0
13:28:00.018,109767,0,0,0,0
13:28:00.066,109735,0,0,0,0
13:28:00.091,109733,0,0,0,0
13:28:00.115,109791,0,0,0,0
13:28:00.141,109822,0,0,0,0
13:28:00.189,109807,0,0,0,0
13:28:00.214,109761,0,0,0,0
13:28:00.235,109776,0,0,0,0
13:28:00.259,109782,0,0,0,0
13:28:00.303,109779,0,0,0,0
13:28:00.328,109792,0,0,0,0
13:28:00.364,109791,0,0,0,0
13:28:00.433,109781,0,0,0,0
13:28:00.459,109775,0,0,0,0
13:28:00.481,109792,0,0,0,0
13:28:00.507,109793,0,0,0,0
13:28:00.552,109774,0,0,0,0
13:28:00.576,109784,0,0,0,0
13:28:00.600,109784,0,0,0,0
13:28:00.624,109835,0,0,0,0
13:28:00.669,109828,0,0,0,0
13:28:00.690,109871,0,0,0,0
13:28:00.714,109798,0,0,0,0
13:28:00.735,109704,0,0,0,0
13:28:00.779,109729,0,0,0,0
13:28:00.803,109797,0,0,0,0
13:28:00.825,109793,0,0,0,0
13:28:00.848,109795,0,0,0,0
13:28:00.893,109799,0,0,0,0
13:28:00.916,109780,0,0,0,0
13:28:00.938,109771,0,0,0,0
13:28:00.961,109773,0,0,0,0
13:28:01.005,109768,0,0,0,0
13:28:01.027,109808,0,0,0,0
13:28:01.051,109801,0,0,0,0
13:28:01.072,109816,0,0,0,0
13:28:01.117,109802,0,0,0,0
13:28:01.139,109796,0,0,0,0
13:28:01.168,109798,0,0,0,0
13:28:01.242,109787,0,0,0,0
13:28:01.263,109795,0,0,0,0
13:28:01.287,109788,0,0,0,0
13:28:01.308,109800,0,0,0,0
13:28:01.351,109796,0,0,0,0
13:28:01.374,109801,0,0,0,0
13:28:01.397,109759,0,0,0,0
13:28:01.419,109875,0,0,0,0
13:28:01.462,109972,0,0,0,0
13:28:01.486,110038,0,0,0,0
13:28:01.508,110051,0,0,0,0
13:28:01.531,109998,0,0,0,0
13:28:01.623,109921,0,0,0,0
13:28:01.647,109785,0,0,0,0
13:28:01.668,109709,0,0,0,0
13:28:01.691,109671,0,0,0,0
13:28:01.734,109719,0,0,0,0
13:28:01.757,109675,0,0,0,0
13:28:01.778,109620,0,0,0,0
13:28:01.801,109583,0,0,0,0
13:28:01.844,109571,0,0,0,0
13:28:01.866,109608,0,0,0,0
13:28:01.889,109601,0,0,0,0
13:28:01.910,109571,0,0,0,0
13:28:01.953,109598,0,0,0,0
13:28:01.988,109595,0,0,0,0
13:28:02.020,109599,0,0,0,0
13:28:02.063,109574,0,0,0,0
13:28:02.085,109595,0,0,0,0
13:28:02.108,109604,0,0,0,0
13:28:02.129,109588,0,0,0,0
13:28:02.174,109614,0,0,0,0
13:28:02.197,109630,0,0,0,0
13:28:02.220,109627,0,0,0,0
13:28:02.241,109644,0,0,0,0
13:28:02.286,109659,0,0,0,0
13:28:02.310,109673,0,0,0,0
13:28:02.332,109687,0,0,0,0
13:28:02.355,109673,0,0,0,0
13:28:02.399,109682,0,0,0,0
13:28:02.421,109727,0,0,0,0
13:28:02.444,109780,0,0,0,0
13:28:02.467,109855,0,0,0,0
13:28:02.511,109822,0,0,0,0
13:28:02.532,109716,0,0,0,0
13:28:02.555,109673,0,0,0,0
13:28:02.576,109661,0,0,0,0
13:28:02.619,109751,0,0,0,0
13:28:02.643,109751,0,0,0,0
13:28:02.664,109722,0,0,0,0
13:28:02.687,109702,0,0,0,0
13:28:02.730,109700,0,0,0,0
13:28:02.761,109684,0,0,0,0
13:28:02.803,109697,0,0,0,0
13:28:02.860,109702,0,0,0,0
13:28:02.883,109691,0,0,0,0
13:28:02.904,109696,0,0,0,0
13:28:02.928,109677,0,0,0,0
13:28:02.972,109689,0,0,0,0
13:28:02.995,109679,0,0,0,0
13:28:03.017,109691,0,0,0,0
13:28:03.040,109680,0,0,0,0
13:28:03.083,109684,0,0,0,0
13:28:03.105,109684,0,0,0,0
