time,ir,red,spo2,hr,temp

13:50:29.382,101641,0,0,0,0
13:50:29.516,101633,0,0,0,0
13:50:29.549,101650,0,0,0,0
13:50:29.585,101626,0,0,0,0
13:50:29.643,101632,0,0,0,0
13:50:29.675,101638,0,0,0,0
13:50:29.707,101699,0,0,0,0
13:50:29.766,101690,0,0,0,0
13:50:29.796,101708,0,0,0,0
13:50:29.821,101641,0,0,0,0
13:50:29.876,101676,0,0,0,0
13:50:29.901,101677,0,0,0,0
13:50:29.927,101617,0,0,0,0
13:50:29.982,101530,0,0,0,0
13:50:30.007,101561,0,0,0,0
13:50:30.032,101569,0,0,0,0
13:50:30.080,101540,0,0,0,0
13:50:30.107,101570,0,0,0,0
13:50:30.132,101599,0,0,0,0
13:50:30.156,101499,0,0,0,0
13:50:30.207,101422,0,0,0,0
13:50:30.232,101353,0,0,0,0
13:50:30.258,101345,0,0,0,0
13:50:30.308,101359,0,0,0,0
13:50:30.334,101367,0,0,0,0
13:50:30.358,101366,0,0,0,0
13:50:30.406,101358,0,0,0,0
13:50:30.433,101363,0,0,0,0
13:50:30.459,101362,0,0,0,0
13:50:30.508,101382,0,0,0,0
13:50:30.533,101392,0,0,0,0
13:50:30.559,101399,0,0,0,0
13:50:30.609,101387,0,0,0,0
13:50:30.635,101394,0,0,0,0
13:50:30.659,101402,0,0,0,0
13:50:30.684,101431,0,0,0,0
13:50:30.732,101450,0,0,0,0
13:50:30.758,101477,0,0,0,0
13:50:30.782,101497,0,0,0,0
13:50:30.807,101513,0,0,0,0
13:50:30.855,101614,0,0,0,0
13:50:30.881,101556,0,0,0,0
13:50:30.905,101557,0,0,0,0
13:50:30.932,101639,0,0,0,0
13:50:30.982,101595,0,0,0,0
13:50:31.008,101527,0,0,0,0
13:50:31.031,101555,0,0,0,0
13:50:31.057,101630,0,0,0,0
13:50:31.107,101636,0,0,0,0
13:50:31.134,101676,0,0,0,0
13:50:31.159,101651,0,0,0,0
13:50:31.212,101677,0,0,0,0
13:50:31.235,101698,0,0,0,0
13:50:31.261,101718,0,0,0,0
13:50:31.284,101724,0,0,0,0
13:50:31.334,101662,0,0,0,0
13:50:31.357,101760,0,0,0,0
13:50:31.384,101775,0,0,0,0
13:50:31.408,101783,0,0,0,0
13:50:31.460,101769,0,0,0,0
13:50:31.484,101752,0,0,0,0
13:50:31.511,101842,0,0,0,0
13:50:31.559,101728,0,0,0,0
13:50:31.587,101775,0,0,0,0
13:50:31.610,101691,0,0,0,0
13:50:31.661,101592,0,0,0,0
13:50:31.685,101608,0,0,0,0
13:50:31.713,101612,0,0,0,0
13:50:31.736,101644,0,0,0,0
13:50:31.833,101646,0,0,0,0
13:50:31.867,101701,0,0,0,0
13:50:31.888,101592,0,0,0,0
13:50:31.933,101521,0,0,0,0
13:50:31.958,101534,0,0,0,0
13:50:31.980,101621,0,0,0,0
13:50:32.004,101597,0,0,0,0
13:50:32.051,101607,0,0,0,0
13:50:32.080,101639,0,0,0,0
13:50:32.106,101643,0,0,0,0
13:50:32.154,101644,0,0,0,0
13:50:32.180,101661,0,0,0,0
13:50:32.204,101637,0,0,0,0
13:50:32.231,101640,0,0,0,0
13:50:32.283,101663,0,0,0,0
13:50:32.306,101643,0,0,0,0
13:50:32.329,101678,0,0,0,0
13:50:32.356,101685,0,0,0,0
13:50:32.402,101680,0,0,0,0
13:50:32.425,101710,0,0,0,0
13:50:32.450,101709,0,0,0,0
13:50:32.475,101717,0,0,0,0
13:50:32.518,101785,0,0,0,0
13:50:32.545,101749,0,0,0,0
13:50:32.566,101727,0,0,0,0
13:50:32.591,101780,0,0,0,0
13:50:32.634,101783,0,0,0,0
13:50:32.659,101776,0,0,0,0
13:50:32.680,101759,0,0,0,0
13:50:32.704,101770,0,0,0,0
13:50:32.752,101790,0,0,0,0
13:50:32.775,101778,0,0,0,0
13:50:32.798,101769,0,0,0,0
13:50:32.822,101774,0,0,0,0
13:50:32.871,101741,0,0,0,0
13:50:32.894,101699,0,0,0,0
13:50:32.918,101710,0,0,0,0
13:50:32.941,101705,0,0,0,0
13:50:32.985,101631,0,0,0,0
13:50:33.012,101565,0,0,0,0
13:50:33.036,101519,0,0,0,0
13:50:33.061,101521,0,0,0,0
13:50:33.108,101535,0,0,0,0
13:50:33.133,101507,0,0,0,0
13:50:33.155,101535,0,0,0,0
13:50:33.179,101479,0,0,0,0
13:50:33.223,101467,0,0,0,0
13:50:33.245,101469,0,0,0,0
13:50:33.268,101444,0,0,0,0
13:50:33.292,101454,0,0,0,0
13:50:33.337,101469,0,0,0,0
13:50:33.359,101551,0,0,0,0
13:50:33.383,101502,0,0,0,0
13:50:33.405,101493,0,0,0,0
13:50:33.448,101514,0,0,0,0
13:50:33.473,101524,0,0,0,0
13:50:33.495,101534,0,0,0,0
13:50:33.520,101551,0,0,0,0
13:50:33.563,101588,0,0,0,0
13:50:33.587,101596,0,0,0,0
13:50:33.609,101601,0,0,0,0
13:50:33.634,101706,0,0,0,0
13:50:33.680,101699,0,0,0,0
13:50:33.702,101729,0,0,0,0
13:50:33.726,101736,0,0,0,0
13:50:33.748,101661,0,0,0,0
13:50:33.795,101654,0,0,0,0
13:50:33.817,101600,0,0,0,0
13:50:33.841,101610,0,0,0,0
13:50:33.863,101608,0,0,0,0
13:50:33.920,101597,0,0,0,0
13:50:33.955,101572,0,0,0,0
13:50:33.976,101578,0,0,0,0
13:50:34.028,101665,0,0,0,0
13:50:34.050,101619,0,0,0,0
13:50:34.074,101591,0,0,0,0
13:50:34.095,101711,0,0,0,0
13:50:34.139,101615,0,0,0,0
13:50:34.164,101578,0,0,0,0
13:50:34.185,101653,0,0,0,0
13:50:34.209,101652,0,0,0,0
13:50:34.253,101619,0,0,0,0
13:50:34.277,101670,0,0,0,0
13:50:34.299,101683,0,0,0,0
13:50:34.322,101676,0,0,0,0
13:50:34.365,101719,0,0,0,0
13:50:34.386,101710,0,0,0,0
13:50:34.409,101727,0,0,0,0
13:50:34.430,101732,0,0,0,0
13:50:34.474,101686,0,0,0,0
13:50:34.497,101739,0,0,0,0
13:50:34.520,101776,0,0,0,0
13:50:34.541,101783,0,0,0,0
13:50:34.584,101802,0,0,0,0
13:50:34.607,101814,0,0,0,0
13:50:34.628,101822,0,0,0,0
