time,ir,red,spo2,hr,temp

16:31:48.559,20206,0,354,0,0
16:31:48.588,20215,0,63,0,0
16:31:48.616,20224,0,51,0,0
16:31:48.650,20233,0,400,0,0
16:31:48.685,20242,0,44,0,0
16:31:48.713,20251,0,875,0,0
16:31:48.743,20399,0,750,0,0
16:31:48.769,20404,0,774,0,0
16:31:48.884,20544,0,0,0,0
16:31:48.921,20548,0,158,0,0
16:31:48.980,20592,0,323,0,0
16:31:49.011,20593,0,190,0,0
16:31:49.036,20640,0,212,0,0
16:31:49.080,20647,0,41,0,0
16:31:49.108,20689,0,293,0,0
16:31:49.132,20834,0,268,0,0
16:31:49.176,20836,0,169,0,0
16:31:49.201,20931,0,88,0,0
16:31:49.227,20935,0,84,0,0
16:31:49.371,20979,0,0,0,0
16:31:49.422,21028,0,37,0,0
16:31:49.448,21034,0,33,0,0
16:31:49.472,21076,0,0,0,0
16:31:49.499,21125,0,35,0,0
16:31:49.526,21133,0,140,0,0
16:31:49.550,21173,0,70,0,0
16:31:49.576,21318,0,146,0,0
16:31:49.614,21367,0,147,0,0
16:31:49.641,21376,0,223,0,0
16:31:49.667,21415,0,111,0,0
16:31:49.691,21421,0,315,0,0
16:31:49.731,21463,0,0,0,0
16:31:49.776,21466,0,386,0,0
16:31:49.809,21511,0,0,0,0
16:31:49.835,21560,0,78,0,0
16:31:49.859,21565,0,0,0,0
16:31:49.885,21608,0,72,0,0
16:31:49.957,21657,0,250,0,0
16:31:50.055,21705,0,0,0,0
16:31:50.097,21754,0,83,0,0
16:31:50.121,21755,0,196,0,0
16:31:50.168,21802,0,0,0,0
16:31:50.191,21808,0,611,0,0
16:31:50.218,21850,0,0,0,0
16:31:50.244,21899,0,0,0,0
16:31:50.273,21996,0,508,0,0
16:31:50.297,21997,0,271,0,0
16:31:50.324,22006,0,286,0,0
16:31:50.349,22044,0,0,0,0
16:31:50.375,22051,0,162,0,0
16:31:50.400,22093,0,11,0,0
16:31:50.428,22096,0,19,0,0
16:31:50.455,22141,0,373,0,0
16:31:50.477,22142,0,0,0,0
16:31:50.501,22189,0,33,0,0
16:31:50.528,22195,0,535,0,0
16:31:50.553,22237,0,0,0,0
16:31:50.575,22286,0,0,0,0
16:31:50.599,22294,0,93,0,0
16:31:50.621,22334,0,109,0,0
16:31:50.646,22339,0,0,0,0
16:31:50.668,22383,0,105,0,0
16:31:50.692,22384,0,21,0,0
16:31:50.787,22431,0,0,0,0
16:31:50.824,22438,0,0,0,0
16:31:50.856,22479,0,0,0,0
16:31:50.879,22483,0,263,0,0
16:31:50.912,22528,0,0,0,0
16:31:51.029,22577,0,90,0,0
16:31:51.069,22625,0,669,0,0
16:31:51.091,22722,0,182,0,0
16:31:51.127,22726,0,281,0,0
16:31:51.224,22770,0,138,0,0
16:31:51.262,22771,0,71,0,0
16:31:51.286,22818,0,0,0,0
16:31:51.308,22964,0,211,0,0
16:31:51.332,22969,0,73,0,0
16:31:51.355,23012,0,8,0,0
16:31:51.378,23060,0,284,0,0
16:31:51.419,23157,0,0,0,0
16:31:51.444,23159,0,77,0,0
16:31:51.465,23205,0,103,0,0
16:31:51.489,23212,0,27,0,0
16:31:51.566,23254,0,130,0,0
16:31:51.664,23257,0,0,0,0
16:31:51.860,23302,0,158,0,0
16:31:51.908,23351,0,0,0,0
16:31:51.932,23356,0,94,0,0
16:31:51.955,23399,0,0,0,0
16:31:52.054,23401,0,197,0,0
16:31:52.092,23496,0,0,0,0
16:31:52.116,23593,0,83,0,0
16:31:52.137,23834,0,46,0,0
16:31:52.161,23842,0,60,0,0
16:31:52.185,23883,0,33,0,0
16:31:52.206,23887,0,119,0,0
16:31:52.348,23981,0,601,0,0
16:31:52.399,23986,0,565,0,0
16:31:52.423,24028,0,0,0,0
16:31:52.445,24031,0,340,0,0
16:31:52.533,24076,0,21,0,0
16:31:52.557,24085,0,0,0,0
16:31:52.581,24125,0,132,0,0
16:31:52.603,24270,0,216,0,0
16:31:52.627,24274,0,33,0,0
16:31:52.649,24318,0,121,0,0
16:31:52.673,24320,0,117,0,0
16:31:52.694,24375,0,166,0,0
16:31:52.718,24382,0,43,0,0
16:31:52.743,24391,0,614,0,0
16:31:52.765,24400,0,0,0,0
16:31:52.792,24409,0,174,0,0
16:31:52.814,24418,0,0,0,0
16:31:52.838,24427,0,0,0,0
16:31:52.860,24436,0,0,0,0
16:31:52.887,24445,0,0,0,0
