time,ir,red,green,spo2,hr,temp
09:59:45,991,0,89,0,89,0
09:59:45,978,708,188,708,188,0
09:59:45,897,302,99,302,99,0
09:59:46,835,415,236,415,236,0
09:59:46,945,277,191,277,191,0
09:59:46,941,273,149,273,149,0
09:59:46,989,458,221,458,221,0
09:59:46,974,494,94,494,94,0
09:59:46,897,451,201,451,201,0
09:59:46,1017,703,65,703,65,0
09:59:46,909,278,0,278,0,0
09:59:46,924,164,0,164,0,0
09:59:46,1032,0,125,0,125,0
09:59:47,869,187,43,187,43,0
09:59:47,863,488,8,488,8,0
09:59:47,1072,341,166,341,166,0
09:59:47,962,451,129,451,129,0
09:59:47,791,0,161,0,161,0
09:59:47,942,252,156,252,156,0
09:59:47,952,414,81,414,81,0
09:59:47,943,341,218,341,218,0
09:59:47,937,265,143,265,143,0
09:59:47,890,0,240,0,240,0
09:59:47,1016,348,134,348,134,0
09:59:47,1014,363,181,363,181,0
09:59:48,942,0,196,0,196,0
09:59:48,852,409,106,409,106,0
09:59:48,901,303,205,303,205,0
09:59:48,974,671,158,671,158,0
09:59:48,1026,0,150,0,150,0
09:59:48,938,684,105,684,105,0
09:59:48,1013,328,93,328,93,85
09:59:48,767,315,165,315,165,0
09:59:48,880,695,61,695,61,0
09:59:48,1001,272,177,272,177,0
09:59:49,897,337,234,337,234,0
09:59:49,957,513,188,513,188,0
09:59:49,842,497,114,497,114,0
09:59:49,914,336,201,336,201,0
09:59:49,1071,789,207,789,207,0
09:59:49,998,685,101,685,101,0
09:59:49,845,596,158,596,158,0
09:59:49,885,436,146,436,146,0
09:59:49,937,339,114,339,114,0
09:59:49,1013,0,235,0,235,0
09:59:49,1051,278,181,278,181,0
09:59:50,773,610,31,610,31,0
09:59:50,703,150,172,150,172,0
09:59:50,1040,0,232,0,232,0
09:59:50,921,298,184,298,184,0
09:59:50,830,788,173,788,173,0
09:59:50,950,78,84,78,84,0
09:59:50,1069,465,210,465,210,0
09:59:50,892,0,198,0,198,0
09:59:50,931,263,101,263,101,0
09:59:50,1022,0,101,0,101,0
09:59:50,843,0,42,0,42,0
09:59:50,997,582,216,582,216,0
09:59:51,997,742,85,742,85,0
09:59:51,898,369,130,369,130,0
09:59:51,749,246,174,246,174,0
09:59:51,796,407,165,407,165,0
09:59:51,998,338,40,338,40,0
09:59:51,827,533,136,533,136,0
09:59:51,794,518,92,518,92,0
09:59:51,949,343,0,343,0,0
09:59:51,952,495,209,495,209,0
09:59:51,843,562,178,562,178,0
09:59:52,1048,556,134,556,134,0
09:59:52,744,190,108,190,108,0
09:59:52,875,353,209,353,209,0
09:59:52,940,302,183,302,183,0
09:59:52,973,418,0,418,0,0
09:59:52,955,405,180,405,180,0
09:59:52,1003,657,164,657,164,0
09:59:52,884,579,0,579,0,0
09:59:52,879,375,0,375,0,0
09:59:52,959,461,165,461,165,0
09:59:52,925,252,87,252,87,0
09:59:53,900,459,85,459,85,0
09:59:53,1022,402,93,402,93,0
09:59:53,772,305,147,305,147,0
09:59:53,641,472,134,472,134,0
09:59:53,929,276,106,276,106,0
09:59:53,1012,0,3,0,3,0
09:59:53,820,556,20,556,20,0
09:59:53,848,486,192,486,192,0
09:59:53,936,376,239,376,239,0
09:59:53,0,457,0,457,0,0
09:59:53,952,439,68,439,68,0
