time,cnt,ir,red,green,spo2,hr,temp
09:33:32.791,1966061,731,445,0,0,0,0
09:33:32.791,1966081,811,407,41,0,0,0
09:33:32.791,1966101,751,644,21,0,0,0
09:33:32.791,1966121,869,218,57,0,0,0
09:33:32.791,1966141,701,471,0,0,0,0
09:33:32.791,1966161,808,454,49,0,0,0
09:33:32.791,1966181,853,384,131,0,0,0
09:33:32.791,1966201,795,458,37,0,0,0
09:33:32.791,1966249,863,263,74,0,0,0
09:33:32.791,1966298,828,422,79,0,0,0
09:33:33.281,1966346,875,395,110,0,0,0
09:33:33.281,1966395,739,474,47,0,0,0
09:33:33.281,1966443,830,324,81,0,0,0
09:33:33.281,1966491,823,545,112,0,0,0
09:33:33.281,1966540,852,457,56,0,0,0
09:33:33.281,1966588,805,609,47,0,0,0
09:33:33.281,1966637,841,331,130,0,0,0
09:33:33.281,1966685,841,421,94,0,0,0
09:33:33.281,1966733,814,525,109,0,0,0
09:33:33.281,1966782,681,423,125,0,0,0
09:33:33.818,1966830,789,516,93,0,0,0
09:33:33.818,1966878,781,426,135,0,0,0
09:33:33.818,1966927,777,418,29,0,0,0
09:33:33.818,1966975,818,474,71,0,0,0
09:33:33.818,1967024,785,503,93,0,0,0
09:33:33.818,1967072,805,464,84,0,0,0
09:33:33.818,1967120,786,505,45,0,0,0
09:33:33.818,1967169,699,488,115,0,0,0
09:33:33.818,1967217,780,448,50,0,0,0
09:33:33.818,1967266,812,443,85,0,0,0
09:33:34.307,1967314,765,468,217,0,0,0
09:33:34.307,1967362,801,358,105,0,0,0
09:33:34.307,1967459,864,419,36,0,0,0
09:33:34.307,1967507,673,437,47,0,0,0
09:33:34.307,1967555,810,399,98,0,0,0
09:33:34.307,1967604,822,383,101,0,0,0
09:33:34.307,1967652,712,509,152,0,0,0
09:33:34.307,1967701,773,466,28,0,0,0
09:33:34.307,1967749,727,479,42,0,0,0
09:33:34.307,1967797,832,340,102,0,0,0
09:33:34.838,1967846,805,418,122,0,0,0
09:33:34.838,1967894,833,327,91,0,0,0
09:33:34.838,1967943,720,351,115,0,0,0
09:33:34.838,1967991,807,585,14,0,0,0
09:33:34.838,1968052,786,392,59,76,0,0
09:33:34.838,1968088,779,305,37,0,0,0
09:33:34.838,1968136,920,173,155,0,0,0
09:33:34.838,1968185,777,324,75,0,0,0
09:33:34.838,1968233,800,478,71,0,0,0
09:33:34.838,1968281,853,588,53,0,0,0
09:33:35.325,1968378,818,457,88,0,0,0
09:33:35.325,1968427,739,398,156,0,0,0
09:33:35.325,1968475,791,303,78,0,0,0
09:33:35.325,1968523,830,421,136,0,0,0
09:33:35.325,1968572,810,423,0,0,0,0
09:33:35.325,1968620,857,378,110,0,0,0
09:33:35.325,1968669,763,85,117,0,0,0
09:33:35.325,1968717,770,481,56,0,0,0
09:33:35.325,1968766,798,437,74,0,0,0
