time,cnt,ir,red,green,spo2,hr,temp
17:01:34:451,23241,123102,106959,17551,0,0,0
17:01:34:481,23271,146146,119416,19061,0,0,0
17:01:34:511,23301,143815,114012,18044,0,0,0
17:01:35:502,24848,115386,81708,11944,98,0,30.4
17:01:35:537,24869,119223,85009,12701,0,0,0
17:01:35:621,24891,122486,88027,13338,0,0,0
17:01:35:622,24912,125616,90857,13903,0,0,0
17:01:35:652,24934,129624,94302,14706,0,0,0
17:01:35:741,24956,126251,91458,14020,0,0,0
17:01:35:770,24977,122162,87498,13296,0,0,0
17:01:36:852,25892,132645,105493,19868,0,0,0
17:01:36:881,25922,130062,99758,15413,0,0,0
17:01:36:911,26131,130218,99962,15473,0,0,0
17:01:36:941,26160,129580,99285,15362,0,0,0
17:01:36:971,26190,129971,99852,15542,0,0,0
17:01:37:001,26221,132005,102145,16339,0,0,0
17:01:37:031,26250,132514,103118,16608,0,0,0
17:01:37:061,26280,135155,105894,17543,0,0,0
17:01:37:091,26310,136053,107225,17759,0,0,0
17:01:37:121,26340,133078,103875,16801,0,0,0
17:01:37:157,26369,133226,104026,16954,0,0,0
17:01:37:181,26399,133831,104982,17264,0,0,0
17:01:37:211,26429,125482,94902,14913,0,0,0
17:01:37:241,26459,126059,95602,15558,0,0,0
17:01:37:271,26488,126724,96848,16098,0,0,0
17:01:37:301,26518,127709,98038,16468,0,0,0
17:01:37:331,26548,127040,96910,16045,0,0,0
17:01:37:361,26578,118447,88397,13003,0,0,0
17:01:37:421,26608,117325,86560,12700,0,0,0
17:01:37:451,26637,118475,87489,12886,0,0,0
17:01:37:485,26667,118597,87553,12861,0,0,0
17:01:37:540,26697,121327,89899,13394,0,0,0
17:01:37:541,26727,123617,92088,13747,0,0,0
17:01:37:571,26786,121249,89770,13100,0,0,0
17:01:37:601,26816,119303,87841,12638,0,0,0
17:01:37:631,26845,119421,87995,12692,0,0,0
17:01:37:661,26875,120611,89083,12857,0,0,0
17:01:37:721,26906,122413,91049,13285,0,0,0
17:01:37:750,26935,122740,91438,13387,0,0,0
17:01:37:780,26965,123309,92110,13586,0,0,0
17:01:37:840,26995,124729,94043,13803,0,0,0
17:01:37:841,27025,125053,94427,13942,0,0,0
17:01:37:871,27084,125240,94768,13957,0,0,0
17:01:37:901,27114,125166,94667,13946,0,0,0
17:01:37:961,27143,121182,91981,13265,0,0,0
17:01:37:991,27173,120754,91622,13164,0,0,0
17:01:38:020,27204,119797,90631,12924,0,0,0
17:01:38:051,27233,119514,90342,12864,0,0,0
17:01:38:080,27263,119106,89920,12782,0,0,0
17:01:38:110,27322,118981,89764,12762,0,0,0
17:01:38:145,27352,118843,89672,12696,0,0,0
