time,spo2,hr,temp
14:05:56.770,,,36.3
14:05:56.811,95,64,
14:05:59.932,95,66,
14:06:02.827,96,70,
14:06:05.880,95,71,36.2
14:06:08.857,94,,
14:06:11.873,95,70,
14:06:14.910,94,75,
14:06:17.926,95,75,
14:06:21.001,95,,36.3
14:06:23.974,95,73,
14:06:26.980,95,,
14:06:30.007,95,74,
14:06:48.175,96,,
14:06:51.269,94,,36.4
14:06:54.788,95,,
14:06:57.675,95,,
14:07:00.584,96,83,
14:07:04.162,95,78,
14:07:06.481,95,77,36.4
14:07:09.315,96,,
14:06:33.035,95,,
14:06:36.411,95,75,36.4
14:06:39.208,95,79,
14:06:42.250,95,82,
14:06:45.115,96,,
