time,cnt,ir,red,green,spo2,hr,temp
14:07:40:708,2023,131804,109156,20543,0,0,36.4
14:07:41:468,2045,131765,109113,20539,0,0,0
14:07:41:575,2066,131752,109105,20530,0,0,0
14:07:42:159,2088,131797,109132,20534,0,0,0
14:07:42:519,3656,131759,109107,20523,96,86,0
14:07:43:137,3854,131757,109092,20507,0,0,0
14:07:43:539,3912,131797,109156,20525,0,0,0
14:07:43:585,4598,131751,109098,20519,0,0,0
14:07:43:615,5283,131748,109127,20524,0,0,0
14:07:43:644,5651,131955,109310,20579,96,89,0
14:07:43:914,6266,131933,109297,20551,0,0,0
14:07:43:920,6590,132021,109372,20584,0,0,0
14:07:43:921,6712,132068,109415,20590,0,0,0
14:07:43:990,6734,132081,109422,20595,0,0,0
14:07:44:020,6755,132086,109428,20603,0,0,0
14:07:44:031,6776,132140,109481,20598,0,0,0
14:07:44:054,7048,131821,109225,20549,0,0,0
14:07:44:089,7069,131893,109229,20542,0,0,0
14:07:44:089,7114,131861,109206,20544,0,0,0
14:07:44:134,7148,131763,109125,20522,0,0,0
14:07:44:134,7169,131788,109148,20519,0,0,0
14:07:44:169,7191,131778,109108,20516,0,0,0
14:07:44:190,7213,131667,109011,20510,0,0,0
14:07:44:589,7234,131663,109007,20486,0,0,0
14:07:44:685,7260,131740,109059,20498,0,0,0
14:07:44:685,7281,131739,109089,20521,0,0,0
14:07:44:779,7303,131743,109064,20512,0,0,0
14:07:44:786,7324,131752,109043,20523,0,0,0
14:07:44:822,7346,131765,109140,20546,0,0,0
14:07:44:822,7807,131861,109202,20547,0,0,0
14:07:44:914,7828,131889,109216,20552,0,0,0
14:07:45:040,7897,131875,109223,20546,0,0,0
14:07:45:111,7918,131911,109247,20552,0,0,0
14:07:45:112,7941,131907,109252,20562,0,0,0
14:07:45:433,7962,131963,109292,20570,0,0,0
14:07:45:449,8031,132031,109347,20565,0,0,0
14:07:45:482,8052,131974,109309,20558,0,0,0
14:07:45:539,8220,132073,109468,20587,0,0,0
14:07:45:552,8242,132239,109589,20615,0,0,0
14:07:45:578,8533,132310,109635,20621,0,0,0
14:07:45:585,8554,132647,110119,20727,0,0,0
14:07:45:619,8576,132471,109955,20622,0,0,0
14:07:45:619,8645,133008,110528,20745,94,0,0
14:07:45:629,8667,132595,110078,20635,0,0,0
14:07:45:640,8689,132451,110013,20614,0,0,0
14:07:45:651,8710,132414,109981,20609,0,0,0
14:07:45:663,8734,132419,109997,20618,0,0,0
14:07:45:674,8756,132494,110083,20620,0,0,0
14:07:45:685,8777,132752,110328,20697,0,0,0
14:07:45:715,8799,132649,110240,20662,0,0,0
14:07:45:731,8820,132758,110304,20687,0,0,0
14:07:45:753,8842,132755,110344,20687,0,0,0
14:07:45:776,8863,132631,110258,20649,0,0,0
14:07:45:800,8885,132601,110204,20649,0,0,0
14:07:45:822,8906,132625,110231,20642,0,0,0
14:07:45:864,8928,132531,110120,20625,0,0,0
14:07:45:865,8950,132614,110203,20656,0,0,0
14:07:45:898,8971,132547,110146,20617,0,0,0
14:07:45:910,8993,132568,110126,20635,0,0,0
14:07:45:938,9015,132614,110271,20666,0,0,0
14:07:45:956,9036,132520,110122,20623,0,0,0
14:07:46:003,9058,132391,109991,20591,0,0,0
14:07:46:003,9080,132477,110082,20583,0,0,0
14:07:46:023,9101,132500,110102,20590,0,0,0
14:07:46:057,9123,132523,110095,20621,0,0,0
14:07:46:057,9145,132604,110216,20632,0,0,0
14:07:46:080,9166,132584,110227,20627,0,0,0
14:07:46:102,9188,132536,110171,20618,0,0,0
14:07:46:137,9210,132502,110134,20631,0,0,0
14:07:46:166,9231,132153,109789,20550,0,0,0
14:07:46:168,9253,132261,109888,20569,0,0,0
14:07:46:194,9274,132054,109688,20525,0,0,0
14:07:46:225,9296,131898,109522,20472,0,0,0
14:07:46:237,9317,131905,109525,20485,0,0,0
14:07:46:260,9339,132056,109710,20519,0,0,0
14:07:46:282,9360,132096,109712,20526,0,0,0
14:07:46:330,9382,132151,109790,20533,0,0,0
14:07:46:338,9403,132131,109785,20547,0,0,0
14:07:46:348,9425,132164,109839,20527,0,0,0
14:07:46:416,9447,132178,109832,20558,0,0,0
14:07:46:429,9468,132213,109891,20547,0,0,0
14:07:46:477,9490,132177,109855,20528,0,0,0
14:07:46:477,9511,132123,109770,20532,0,0,0
14:07:46:483,9533,132209,109846,20555,0,0,0
14:07:46:495,9554,132162,109830,20539,0,0,0
14:07:46:506,9576,132118,109783,20527,0,0,0
14:07:46:519,9598,132051,109705,20512,0,0,0
14:07:46:555,9619,132091,109774,20518,0,0,0
14:07:46:574,9641,132038,109725,20527,0,0,0
14:07:46:602,9663,132018,109717,20542,0,0,0
14:07:46:630,9684,131962,109609,20474,0,0,0
14:07:46:702,9706,131902,109550,20486,0,0,0
14:07:46:721,9728,131943,109621,20500,0,0,0
14:07:46:731,9749,132044,109696,20503,0,0,0
14:07:46:743,9771,132027,109687,20509,0,0,0
14:07:46:753,9792,132036,109691,20505,0,0,0
14:07:46:766,9814,132048,109714,20516,0,0,0
14:07:46:788,9836,132086,109744,20517,0,0,0
14:07:46:823,9857,132101,109730,20513,0,0,0
14:07:46:859,9879,132096,109783,20576,0,0,0
14:07:46:859,9901,132092,109764,20534,0,0,0
14:07:46:859,9922,132132,109809,20515,0,0,0
14:07:46:866,9944,132214,109877,20534,0,0,0
14:07:46:912,9966,132156,109832,20540,0,0,0
14:07:46:934,9988,132182,109847,20525,0,0,0
14:07:46:934,10009,132230,109898,20554,0,0,0
14:07:46:959,10031,132233,109903,20555,0,0,0
14:07:46:990,10053,132231,109914,20564,0,0,0
14:07:47:001,10074,132197,109888,20531,0,0,0
14:07:47:032,10096,132214,109900,20569,0,0,0
14:07:47:069,10118,132285,109944,20580,0,0,0
14:07:47:092,10139,132315,110029,20583,0,0,0
14:07:47:092,10161,132339,110020,20561,0,0,0
