time,spo2,hr,temp
13:06:55.243,100,,
13:06:58.304,98,84,26
13:07:01.284,100,,
13:07:04.314,97,,
13:07:07.314,94,83,
13:07:10.330,96,,
13:07:13.426,98,,26.3
13:07:16.383,96,81,
13:07:19.396,92,,
13:07:22.459,91,82,
13:07:25.449,90,85,
13:07:28.536,91,87,26.3
13:07:31.491,89,89,
13:07:34.535,90,89,
13:07:37.586,90,91,
13:07:40.570,92,93,
13:07:43.632,94,94,26.4
13:07:46.610,94,95,
13:07:49.636,95,97,
13:07:52.664,97,95,
13:07:55.668,97,96,
13:07:58.750,96,97,26.2
13:08:01.707,97,98,
13:08:04.734,99,99,
13:08:07.750,99,100,
13:08:10.814,98,99,
13:08:13.858,100,,26.2
13:08:16.818,100,,
13:08:19.843,100,,
13:08:22.869,100,,
13:08:25.913,100,,
13:08:28.979,98,90,26.2
