time,cnt,ir,red,green,spo2,hr,temp
13:41:09:762,5350,118112,114657,8019,0,0,0
13:41:09:773,5406,132472,120471,8753,0,0,0
13:41:09:785,5428,134891,119792,9221,0,0,0
13:41:09:795,5450,135385,119007,9483,0,0,0
13:41:09:807,5472,135638,118317,9833,0,0,0
13:41:09:830,5493,135882,118335,10044,0,0,0
13:41:09:853,5515,136222,118332,10272,0,0,0
13:41:09:886,5536,136670,118507,10567,0,0,0
13:41:09:899,5558,136839,118516,10718,0,0,0
13:41:09:922,5580,137330,118711,10959,0,0,0
13:41:09:946,5601,137409,118739,11062,0,0,0
13:41:09:967,5623,137259,118726,11207,0,0,0
13:41:09:988,5644,137246,118847,11311,0,0,0
13:41:10:011,5666,137477,119052,11402,0,0,0
13:41:10:033,5687,137751,119266,11472,0,0,0
13:41:10:056,5709,137912,119374,11531,0,0,0
13:41:10:078,5730,138116,119490,11617,0,0,0
13:41:10:090,5752,138259,119559,11684,0,0,0
13:41:10:114,5773,138372,119669,11765,0,0,0
13:41:10:134,5795,138639,119860,11898,0,0,0
13:41:10:156,5817,138966,119992,12002,0,0,0
13:41:10:179,5838,139059,119996,12069,0,0,0
13:41:10:213,5871,139216,120079,12146,99,84,0
13:41:10:235,5893,139112,119994,12213,0,0,0
13:41:10:259,5914,138888,119887,12264,0,0,0
13:41:10:283,5936,138872,119857,12342,0,0,0
13:41:10:307,5957,138964,119879,12408,0,0,0
13:41:10:328,5979,139288,119924,12532,0,0,0
13:41:10:352,6000,139528,119942,12613,0,0,0
13:41:10:373,6022,139974,119910,12847,0,0,0
13:41:10:403,6044,140233,119927,12971,0,0,0
13:41:10:418,6065,140704,120079,13128,0,0,0
13:41:10:441,6087,140874,120130,13221,0,0,0
13:41:10:451,6109,141035,120096,13307,0,0,0
13:41:10:476,6130,141081,120065,13336,0,0,0
13:41:10:497,6152,141157,120081,13381,0,0,0
13:41:10:520,6173,141219,120041,13390,0,0,0
13:41:10:539,6195,141229,120055,13418,0,0,0
13:41:10:562,6216,141028,120014,13522,0,0,0
13:41:10:584,6238,140961,120029,13537,0,0,0
13:41:10:616,6259,140914,120052,13569,0,0,0
13:41:10:630,6281,140891,120064,13604,0,0,0
13:41:10:651,6302,140907,120076,13622,0,0,0
13:41:10:676,6324,140997,120127,13636,0,0,0
13:41:10:697,6345,141140,120193,13662,0,0,0
13:41:10:720,6367,141277,120261,13692,0,0,0
13:41:10:743,6389,141407,120302,13730,0,0,0
13:41:10:754,6410,141498,120342,13738,0,0,0
13:41:10:776,6432,141616,120388,13798,0,0,0
13:41:10:798,6453,141735,120525,13845,0,0,0
13:41:10:820,6475,141897,120618,13879,0,0,0
13:41:10:843,6496,141877,120607,13890,0,0,0
13:41:10:876,6518,141908,120622,13929,0,0,0
13:41:10:888,6539,141970,120691,13933,0,0,0
13:41:10:911,6561,142019,120703,13973,0,0,0
13:41:10:933,6583,142123,120779,13995,0,0,0
13:41:10:957,6604,142250,120840,14031,0,0,0
13:41:10:978,6626,142327,120918,14048,0,0,0
13:41:11:001,6648,142433,120963,14064,0,0,0
13:41:11:023,6669,142612,121071,14096,0,0,0
13:41:11:046,6691,142752,121188,14100,0,0,0
13:41:11:080,6713,142786,121207,14127,0,0,0
13:41:11:090,6734,142765,121140,14120,0,0,0
13:41:11:101,6756,142672,121048,14120,0,0,0
13:41:11:124,6778,142658,121015,14139,0,0,0
13:41:11:146,6799,142679,121028,14154,0,0,0
13:41:11:169,6821,142697,121032,14190,0,0,0
13:41:11:195,6843,142342,120840,14248,0,0,0
13:41:11:218,6864,142101,120718,14254,0,0,0
13:41:11:239,6886,141948,120651,14267,0,0,0
13:41:11:267,6908,141944,120597,14272,0,0,0
13:41:11:284,6929,141976,120593,14268,0,0,0
13:41:11:310,6951,141989,120576,14280,0,0,0
13:41:11:330,6972,141948,120489,14272,0,0,0
13:41:11:353,6994,141925,120415,14271,0,0,0
13:41:11:375,7016,141989,120420,14271,0,0,0
13:41:11:398,7037,142020,120404,14262,0,0,0
13:41:11:408,7059,142032,120372,14285,0,0,0
13:41:11:432,7080,142071,120387,14300,0,0,0
13:41:11:452,7102,142123,120466,14350,0,0,0
13:41:11:477,7123,142127,120445,14298,0,0,0
13:41:11:500,7145,142151,120441,14301,0,0,0
13:41:11:521,7167,142124,120432,14311,0,0,0
13:41:11:543,7188,142118,120422,14318,0,0,0
13:41:11:566,7210,142167,120431,14312,0,0,0
13:41:11:587,7232,142176,120420,14309,0,0,0
13:41:11:613,7253,142141,120402,14316,0,0,0
13:41:11:633,7275,142121,120364,14303,0,0,0
13:41:11:657,7296,142077,120321,14296,0,0,0
13:41:11:691,7318,142040,120288,14265,0,0,0
13:41:11:709,7339,142022,120276,14256,0,0,0
13:41:11:720,7361,141976,120219,14253,0,0,0
13:41:11:732,7382,141998,120205,14278,0,0,0
13:41:11:755,7404,142027,120197,14270,0,0,0
13:41:11:811,7426,142008,120169,14286,0,0,0
13:41:11:811,7447,142023,120201,14302,0,0,0
13:41:11:821,7469,141819,120116,14289,0,0,0
13:41:11:845,7491,141573,120009,14307,0,0,0
13:41:11:866,7512,141312,119904,14299,0,0,0
13:41:11:890,7534,141217,119840,14285,0,0,0
13:41:11:927,7555,141177,119836,14288,0,0,0
13:41:11:933,7577,141173,119823,14307,0,0,0
13:41:11:957,7598,141230,119805,14305,0,0,0
13:41:11:980,7620,141251,119860,14364,0,0,0
13:41:12:001,7642,141319,119882,14324,0,0,0
13:41:12:025,7663,141342,119892,14344,0,0,0
13:41:12:046,7685,141396,119900,14339,0,0,0
13:41:12:059,7706,141394,119891,14336,0,0,0
13:41:12:081,7728,141376,119867,14340,0,0,0
13:41:12:102,7750,141380,119875,14355,0,0,0
13:41:12:141,7771,141334,119858,14364,0,0,0
13:41:12:148,7793,141318,119847,14373,0,0,0
13:41:12:170,7814,141266,119806,14376,0,0,0
13:41:12:193,7836,141301,119820,14388,0,0,0
13:41:12:214,7857,141308,119789,14384,0,0,0
13:41:12:238,7879,141316,119775,14424,0,0,0
13:41:12:260,7900,141368,119784,14389,0,0,0
13:41:12:283,7922,141391,119788,14398,0,0,0
13:41:12:304,7943,141396,119777,14398,0,0,0
13:41:12:331,7965,141448,119798,14407,0,0,0
13:41:12:373,7987,141455,119779,14412,0,0,0
13:41:12:374,8008,141500,119771,14425,0,0,0
13:41:12:387,8030,141515,119778,14443,0,0,0
13:41:12:410,8052,141544,119776,14421,0,0,0
13:41:12:431,8073,141563,119783,14455,0,0,0
13:41:12:455,8095,141542,119799,14452,0,0,0
