time,ir,red,green,spo2,hr,temp
13:44:32:285,0,337,85,0,0,0
13:44:32:306,620,389,106,0,0,0
13:44:32:327,557,364,48,0,0,0
13:44:32:348,596,343,130,0,0,0
13:44:32:369,601,401,78,0,0,0
13:44:32:390,557,328,93,0,0,0
13:44:32:412,628,398,115,0,0,0
13:44:32:433,555,363,49,0,0,0
13:44:32:454,608,345,125,0,0,0
13:44:32:475,599,388,76,0,0,0
13:44:32:496,561,333,92,0,0,0
13:44:32:517,622,397,114,0,0,0
13:44:32:539,549,354,47,0,0,0
13:44:32:560,610,342,130,0,0,0
13:44:32:581,595,390,74,0,0,0
13:44:32:602,547,329,100,0,0,0
13:44:32:623,625,402,117,0,0,0
13:44:32:645,562,363,47,0,0,0
13:44:32:666,607,366,126,0,0,0
13:44:32:687,590,394,71,0,0,0
13:44:32:708,556,326,99,0,0,0
13:44:32:729,623,399,109,0,0,0
13:44:32:750,551,355,51,0,0,0
13:44:32:772,618,355,130,0,0,0
13:44:32:793,600,401,63,0,0,0
13:44:32:814,553,323,97,0,0,0
13:44:32:835,613,403,98,0,0,0
13:44:32:856,548,352,47,0,0,0
13:44:32:877,621,364,134,0,0,0
13:44:32:899,586,389,73,0,0,0
13:44:32:920,558,325,106,0,0,0
13:44:32:941,617,398,100,0,0,0
13:44:32:962,598,327,116,0,0,0
13:44:32:983,606,399,83,0,0,0
13:44:33:005,535,342,77,0,0,0
13:44:33:026,564,376,41,0,0,0
13:44:33:047,586,339,127,0,0,0
13:44:33:068,603,403,79,0,0,0
13:44:33:089,542,345,71,0,0,0
13:44:33:110,622,387,121,0,0,0
13:44:33:132,532,363,56,0,0,0
13:44:33:153,607,402,87,0,0,0
13:44:33:174,545,331,84,0,0,0
13:44:33:195,619,400,111,0,0,0
13:44:33:216,558,353,49,0,0,0
13:44:33:237,609,334,128,0,0,0
13:44:33:259,599,402,104,0,0,0
13:44:33:280,623,390,115,0,0,0
13:44:33:301,555,360,52,0,0,0
13:44:33:322,596,342,116,0,0,0
13:44:33:343,595,391,74,0,0,0
13:44:33:365,554,328,97,0,0,0
13:44:33:386,552,361,48,0,0,0
13:44:33:407,610,348,128,0,0,0
13:44:33:428,586,399,74,0,0,0
13:44:33:449,547,332,99,0,0,0
13:44:33:470,615,396,112,0,0,0
13:44:33:492,560,359,44,0,0,0
13:44:33:513,612,356,124,0,0,0
13:44:33:534,548,325,109,0,0,0
13:44:33:555,618,403,113,0,0,0
13:44:33:576,552,369,60,0,0,0
13:44:33:598,605,359,125,0,0,0
13:44:33:619,585,410,63,0,0,0
13:44:33:640,612,396,101,0,0,0
13:44:33:661,550,356,51,0,0,0
13:44:33:682,608,361,132,0,0,0
13:44:33:703,583,396,68,0,0,0
13:44:33:725,556,323,106,0,0,0
13:44:33:746,611,411,97,0,0,0
13:44:33:767,612,368,122,0,0,0
13:44:33:788,587,385,57,0,0,0
13:44:33:809,566,328,117,0,0,0
13:44:33:830,606,410,98,0,0,0
13:44:33:852,540,355,59,0,0,0
13:44:33:873,641,358,125,0,0,0
13:44:33:894,570,328,124,0,0,0
13:44:33:915,610,409,100,0,0,0
13:44:33:936,549,354,57,0,0,0
