time,ir,red,green,gyro,spo2,hr,temp
16:41:48:840,110894,100637,7928,0,0,0,0
16:41:48:860,110986,100644,7960,0,0,0,0
16:41:48:880,111030,100670,7939,0,0,0,0
16:41:48:900,111052,100664,7971,0,0,0,0
16:41:48:920,111058,100676,7952,0,0,0,0
16:41:48:940,111010,100647,7944,0,0,0,0
16:41:48:960,111042,100659,7970,0,0,0,0
16:41:48:980,111051,100663,7951,0,0,0,0
16:41:49:000,111090,100658,7984,0,0,0,0
16:41:49:020,111142,100682,7972,0,0,0,0
16:41:49:040,111168,100670,7973,0,0,0,0
16:41:49:060,111239,100718,7982,0,0,0,0
16:41:49:080,111278,100702,7973,0,0,0,0
16:41:49:100,111320,100702,7998,0,0,0,0
16:41:49:120,111389,100736,8001,0,0,0,0
16:41:49:140,111428,100725,8001,0,0,0,0
16:41:49:160,111479,100735,8006,0,0,0,0
16:41:49:180,111484,100753,7996,0,0,0,0
16:41:49:200,111535,100746,8018,0,0,0,0
16:41:49:220,111529,100755,8001,0,0,0,0
16:41:49:240,111570,100755,8012,0,0,0,0
16:41:49:260,111619,100785,8022,0,0,0,0
16:41:49:280,111581,100756,8002,0,0,0,0
16:41:49:300,111642,100766,8032,0,0,0,0
16:41:49:320,111644,100752,8007,0,0,0,0
16:41:49:340,111649,100732,8036,0,0,0,0
16:41:49:360,111684,100746,8041,0,0,0,0
16:41:49:380,111654,100723,8029,0,0,0,0
16:41:49:400,111607,100710,8043,0,0,0,0
16:41:49:420,111394,100637,8027,0,0,0,0
16:41:49:440,111077,100536,8018,0,0,0,0
16:41:49:460,110750,100460,8003,0,0,0,0
16:41:49:480,110543,100388,7996,0,0,0,0
16:41:49:500,110540,100382,8009,0,0,0,0
16:41:49:520,110636,100409,8001,0,0,0,0
16:41:49:540,110763,100421,8025,0,0,0,0
16:41:49:560,110848,100466,8016,0,0,0,0
16:41:49:580,110856,100454,8017,0,0,0,0
16:41:49:600,110936,100469,8020,0,0,0,0
16:41:49:620,110965,100484,8011,0,0,0,0
16:41:49:640,111065,100498,8046,0,0,0,0
16:41:49:660,111138,100537,8028,0,0,0,0
16:41:49:680,111204,100531,8051,0,0,0,0
16:41:49:700,111261,100563,8055,0,0,0,0
16:41:49:720,111234,100546,8047,0,0,0,0
16:41:49:740,111273,100559,8067,0,0,0,0
16:41:49:760,111317,100572,8051,0,0,0,0
16:41:49:780,111351,100569,8063,0,0,0,0
16:41:49:800,111388,100589,8067,0,0,0,0
16:41:49:820,111399,100559,8064,0,0,0,0
16:41:49:840,111452,100596,8083,0,0,0,0
16:41:49:860,111472,100593,8061,0,0,0,0
16:41:49:880,111512,100601,8082,0,0,0,0
16:41:49:900,111563,100632,8084,0,0,0,0
16:41:49:920,111564,100591,8061,0,0,0,0
16:41:49:940,111586,100621,8087,0,0,0,0
16:41:49:960,111581,100607,8071,0,0,0,0
16:41:49:980,111620,100605,8097,0,0,0,0
16:41:50:000,111638,100618,8087,0,0,0,0
16:41:50:020,111669,100599,8096,0,0,0,0
16:41:50:040,111665,100632,8096,0,0,0,0
16:41:50:060,111668,100613,8083,0,0,0,0
16:41:50:080,111712,100608,8112,0,0,0,0
